Time,data
1692168112.9046633,2
1692168113.3347294,1
1692168114.2546995,2
1692168114.6647477,1
1692168115.4147334,2
1692168115.4847467,1
1692168115.5847228,2
1692168115.9247472,1
1692168116.9047675,2
1692168117.2349126,1
1692168118.2047172,2
1692168118.5048466,1
1692168119.3647542,2
1692168119.7247105,1
1692168120.7148035,2
1692168120.9547126,1
1692168121.6346762,2
1692168122.1050386,1
1692168122.8846672,2
1692168123.3650568,1
1692168124.2347803,2
1692168124.694736,1
1692168125.5047371,2
1692168125.9848883,1
1692168129.5347598,2
1692168130.0353944,1
1692168135.0647674,2
1692168135.4946856,1
1692168140.794745,2
1692168141.1446955,1
1692168142.114772,2
1692168142.4147835,1
1692168143.3649848,2
1692168143.6847024,1
1692168144.6847377,2
1692168145.0047348,1
1692168146.014704,2
1692168146.284724,1
1692168147.014799,2
1692168147.5647883,1
1692168148.374701,2
1692168148.9448853,1
1692168149.7747486,2
1692168150.3147116,1
1692168151.0746212,2
1692168151.624714,1
1692168152.6349494,2
1692168152.9852304,1
1692168153.7346683,2
1692168154.3147304,1
1692168155.1147118,2
1692168155.5746882,1
1692168156.8247232,2
1692168157.584957,1
1692168160.4446647,2
1692168160.9547298,1
1692168161.8746476,2
1692168162.3346987,1
1692168163.6946902,2
1692168164.6948652,1
