Time,data
1692168710.4305823,2
1692168710.6505582,1
1692168732.6005082,2
1692168732.940731,1
1692168734.1307337,2
1692168734.470761,1
1692168735.4707024,2
1692168735.8007455,1
1692168736.7721362,2
1692168737.1206996,1
1692168738.1007142,2
1692168738.4408891,1
1692168739.4107406,2
1692168739.7813873,1
1692168740.740774,2
1692168741.1008255,1
1692168742.0807924,2
1692168742.4507518,1
1692168743.4208348,2
1692168743.7907212,1
1692168744.7416623,2
1692168745.00073,1
1692168745.8807786,2
1692168746.210807,1
1692168747.180808,2
1692168747.5707333,1
1692168748.5707297,2
1692168748.9209006,1
1692168749.8810632,2
1692168750.1908958,1
1692168751.1507154,2
1692168751.491137,1
1692168752.4409742,2
1692168752.810715,1
1692168753.8310728,2
1692168754.1908007,1
1692168755.2008016,2
1692168755.560894,1
1692168756.5410485,2
1692168756.940506,1
1692168757.9206457,2
1692168758.2606938,1
1692168759.280714,2
1692168759.6708238,1
1692168760.6707048,2
1692168760.9908862,1
1692168762.000913,2
1692168762.4307144,1
1692168763.4807649,2
1692168763.831438,1
1692168764.8208044,2
1692168765.1906557,1
1692168766.220798,2
1692168766.5707324,1
1692168767.5908816,2
1692168768.0105789,1
1692168769.0807593,2
1692168769.430757,1
1692168770.4607677,2
1692168770.8307061,1
1692168771.9007545,2
1692168772.3111856,1
1692168773.380834,2
1692168773.7605553,1
1692168774.8005633,2
1692168775.1805835,1
1692168776.1906075,2
1692168776.5208046,1
1692168777.5407465,2
1692168777.9106686,1
1692168778.9207404,2
1692168779.2307198,1
1692168780.2107067,2
1692168780.5707076,1
1692168781.5606651,2
1692168781.9207623,1
1692168782.910714,2
1692168783.2207801,1
1692168784.1706579,2
1692168784.5306833,1
1692168785.510626,2
1692168785.8807013,1
1692168786.910706,2
1692168787.280865,1
1692168788.2208252,2
1692168788.5906615,1
1692168789.5504928,2
1692168789.8506322,1
1692168790.810778,2
1692168791.2206905,1
1692168792.1806972,2
1692168792.5209408,1
1692168793.5007286,2
1692168793.871233,1
1692168794.8407009,2
1692168795.1607587,1
1692168796.1307054,2
1692168796.480738,1
1692168797.4506474,2
1692168797.760713,1
1692168798.760574,2
1692168799.0706985,1
1692168799.9607675,2
1692168800.3406246,1
1692168801.3005946,2
1692168801.640593,1
1692168802.5906653,2
1692168802.9005728,1
1692168803.8407884,2
1692168804.2006924,1
1692168805.1906633,2
1692168805.5006385,1
1692168806.4706514,2
1692168806.8405445,1
1692168807.8007653,2
1692168808.1206865,1
1692168809.0711086,2
1692168809.410686,1
1692168810.350893,2
1692168810.6807914,1
1692168811.6210294,2
1692168811.9907362,1
1692168812.97107,2
1692168813.3707402,1
1692168814.3906333,2
1692168814.7507696,1
1692168815.7106836,2
1692168816.041137,1
1692168817.0205495,2
1692168817.4207194,1
1692168818.4411502,2
1692168818.8208778,1
1692168819.8007784,2
1692168820.1407,1
1692168821.1410153,2
1692168821.5206888,1
1692168822.510717,2
1692168822.9307346,1
1692168823.9509501,2
1692168824.310632,1
1692168825.2707589,2
1692168825.5906916,1
1692168826.5508513,2
1692168827.0305164,1
1692168828.1305926,2
1692168828.5006993,1
1692168829.4608142,2
1692168829.790707,1
1692168830.7205071,2
1692168831.0507262,1
1692168832.0207865,2
1692168832.350772,1
1692168833.3306353,2
1692168833.771111,1
1692168834.810737,2
1692168835.140801,1
1692168836.1407733,2
1692168836.5106704,1
1692168837.5304751,2
1692168837.8805888,1
1692168838.860575,2
1692168839.270843,1
1692168840.2905867,2
1692168840.6709166,1
1692168841.6605694,2
1692168842.0005436,1
1692168843.00065,2
1692168843.3507152,1
1692168844.3007295,2
1692168844.7107885,1
1692168845.690576,2
1692168846.0505571,1
1692168847.0307264,2
1692168847.4007435,1
1692168848.3505962,2
1692168848.7006183,1
1692168849.6605625,2
1692168850.040529,1
1692168851.0405667,2
1692168851.4006765,1
1692168852.3306684,2
1692168852.6604984,1
1692168853.6507435,2
1692168854.1007912,1
1692168855.1505904,2
1692168855.3205845,1
1692168857.5309231,2
1692168857.7107944,1
1692168858.7406769,2
1692168858.8808365,1
1692168860.3506837,2
1692168860.5206225,1
1692168861.9007447,2
1692168862.0307245,1
1692168863.030753,2
1692168863.160685,1
