time,1,2,3,4,5,6,7,8
0.00126348,1.302,1.534,1.57,1.236,1.59,1.572,1.666,1.442
0.00211502,1.302,1.534,1.572,1.238,1.59,1.572,1.664,1.442
0.0027942,1.324,1.6,1.588,1.294,1.612,1.648,1.718,1.474
0.0034652,1.324,1.6,1.59,1.294,1.612,1.648,1.72,1.474
0.00413452,1.326,1.6,1.59,1.294,1.612,1.648,1.72,1.474
0.00481342,1.324,1.6,1.588,1.292,1.612,1.648,1.72,1.474
0.00548633,1.326,1.6,1.59,1.294,1.612,1.648,1.72,1.476
0.00615285,1.326,1.6,1.588,1.294,1.612,1.648,1.72,1.474
0.00682137,1.326,1.6,1.588,1.294,1.612,1.648,1.72,1.476
0.00748724,1.326,1.6,1.588,1.292,1.612,1.648,1.72,1.474
0.00815568,1.326,1.6,1.588,1.294,1.612,1.648,1.72,1.474
0.00882285,1.324,1.6,1.588,1.292,1.61,1.648,1.72,1.476
0.01315833,1.326,1.6,1.588,1.292,1.61,1.648,1.72,1.476
0.01637148,1.326,1.6,1.588,1.294,1.61,1.648,1.72,1.474
0.01939161,1.326,1.6,1.59,1.294,1.61,1.648,1.72,1.476
0.02017233,1.326,1.6,1.588,1.292,1.61,1.648,1.72,1.476
0.02084841,1.326,1.6,1.588,1.294,1.61,1.648,1.72,1.476
0.02160815,1.328,1.598,1.588,1.294,1.61,1.646,1.72,1.476
0.02238257,1.328,1.6,1.588,1.294,1.608,1.646,1.72,1.476
0.0230582,1.328,1.6,1.59,1.294,1.61,1.646,1.72,1.476
0.02381939,1.328,1.6,1.588,1.292,1.608,1.646,1.72,1.478
0.02458546,1.328,1.6,1.588,1.294,1.608,1.646,1.72,1.476
0.0253512,1.328,1.6,1.588,1.292,1.608,1.644,1.722,1.476
0.02602592,1.328,1.6,1.588,1.294,1.608,1.644,1.72,1.476
0.0267907,1.33,1.6,1.588,1.292,1.606,1.644,1.72,1.476
0.02756098,1.328,1.6,1.588,1.292,1.606,1.644,1.72,1.476
0.02823811,1.328,1.6,1.588,1.292,1.606,1.644,1.722,1.478
0.02899605,1.33,1.6,1.588,1.292,1.604,1.644,1.72,1.476
0.02979744,1.33,1.6,1.588,1.292,1.604,1.644,1.722,1.476
0.03058163,1.328,1.6,1.588,1.292,1.604,1.644,1.722,1.476
0.0312557,1.33,1.6,1.588,1.292,1.604,1.642,1.722,1.478
0.03201437,1.33,1.6,1.588,1.294,1.604,1.642,1.722,1.478
0.03278255,1.328,1.6,1.588,1.292,1.602,1.642,1.722,1.476
0.03345854,1.328,1.6,1.588,1.294,1.602,1.64,1.722,1.478
0.03422617,1.328,1.6,1.588,1.292,1.602,1.642,1.722,1.476
0.03499213,1.328,1.6,1.588,1.292,1.6,1.64,1.722,1.476
0.03576117,1.33,1.6,1.588,1.292,1.6,1.64,1.722,1.478
0.03643667,1.33,1.6,1.588,1.292,1.6,1.64,1.722,1.478
0.03719463,1.33,1.6,1.588,1.292,1.6,1.64,1.722,1.478
0.03796681,1.33,1.6,1.588,1.292,1.598,1.64,1.722,1.478
0.038797,1.33,1.6,1.588,1.292,1.598,1.638,1.722,1.478
0.03953252,1.33,1.6,1.588,1.29,1.598,1.638,1.724,1.478
0.04031128,1.33,1.6,1.588,1.29,1.598,1.638,1.722,1.478
0.04111468,1.33,1.6,1.588,1.292,1.596,1.638,1.722,1.478
