Time,Displacement,Force,Compressive displacement,voltage_1
(s),(mm),(N),(mm),(V)
"0.0000","0.2021","0.0974","0.0000","0.0022"
"0.0050","0.2021","0.0972","0.0000","0.0022"
"0.0100","0.2021","0.0968","0.0000","0.0022"
"0.0150","0.2021","0.0970","0.0000","0.0022"
"0.0200","0.2021","0.0979","0.0000","0.0022"
"0.0250","0.2021","0.0987","0.0000","0.0022"
"0.0300","0.2021","0.0988","0.0000","0.0022"
"0.0350","0.2021","0.0989","0.0000","0.0022"
"0.0400","0.2021","0.0992","0.0000","0.0022"
"0.0450","0.2022","0.0993","0.0001","0.0022"
"0.0500","0.2023","0.0993","0.0002","0.0022"
"0.0550","0.2024","0.0997","0.0003","0.0022"
"0.0600","0.2028","0.1004","0.0007","0.0022"
"0.0650","0.2032","0.1016","0.0011","0.0022"
"0.0700","0.2039","0.1028","0.0018","0.0022"
"0.0750","0.2048","0.1033","0.0027","0.0022"
"0.0800","0.2060","0.1038","0.0039","0.0022"
"0.0850","0.2074","0.1045","0.0053","0.0022"
"0.0900","0.2090","0.1060","0.0069","0.0022"
"0.0950","0.2108","0.1076","0.0087","0.0022"
"0.1000","0.2127","0.1098","0.0106","0.0022"
"0.1050","0.2146","0.1127","0.0125","0.0022"
"0.1100","0.2165","0.1153","0.0144","0.0022"
"0.1150","0.2183","0.1176","0.0162","0.0022"
"0.1200","0.2199","0.1191","0.0177","0.0022"
"0.1250","0.2212","0.1206","0.0191","0.0022"
"0.1300","0.2225","0.1226","0.0204","0.0022"
"0.1350","0.2237","0.1240","0.0216","0.0022"
"0.1400","0.2249","0.1260","0.0228","0.0022"
"0.1450","0.2262","0.1278","0.0241","0.0022"
"0.1500","0.2274","0.1290","0.0253","0.0022"
"0.1550","0.2288","0.1303","0.0267","0.0022"
"0.1600","0.2302","0.1323","0.0281","0.0022"
"0.1650","0.2316","0.1345","0.0295","0.0022"
"0.1700","0.2331","0.1375","0.0310","0.0022"
"0.1750","0.2346","0.1404","0.0325","0.0022"
"0.1800","0.2361","0.1435","0.0340","0.0022"
"0.1850","0.2376","0.1467","0.0355","0.0022"
"0.1900","0.2391","0.1498","0.0370","0.0022"
"0.1950","0.2407","0.1529","0.0386","0.0022"
"0.2000","0.2423","0.1563","0.0402","0.0022"
"0.2050","0.2440","0.1606","0.0419","0.0022"
"0.2100","0.2457","0.1654","0.0436","0.0022"
"0.2150","0.2474","0.1703","0.0453","0.0022"
"0.2200","0.2491","0.1748","0.0470","0.0022"
"0.2250","0.2508","0.1789","0.0487","0.0022"
"0.2300","0.2524","0.1822","0.0503","0.0022"
