sync,time,vout
1.0,0.02099954,0.1
1.0,0.02167067,0.096
1.0,0.02228389,0.1
1.0,0.022881,0.102
1.0,0.02348161,0.1
1.0,0.0240813,0.102
1.0,0.02467854,0.1
1.0,0.02526872,0.1
1.0,0.02586589,0.1
1.0,0.02645967,0.11
1.0,0.02705109,0.1
1.0,0.02764111,0.1
1.0,0.02822757,0.092
1.0,0.02881432,0.102
1.0,0.02940182,0.1
1.0,0.02998793,0.1
1.0,0.03123895,0.098
1.0,0.03202907,0.104
1.0,0.03263622,0.104
1.0,0.03343526,0.1
1.0,0.03422246,0.098
1.0,0.03488102,0.102
1.0,0.0356068,0.1
1.0,0.03645685,0.1
1.0,0.03730061,0.1
1.0,0.03797602,0.1
1.0,0.03870698,0.098
1.0,0.03928998,0.1
1.0,0.0397472,0.11
1.0,0.0404768,0.1
1.0,0.04096789,0.098
1.0,0.04149307,0.108
1.0,0.04195363,0.1
1.0,0.04257382,0.098
1.0,0.04312463,0.098
1.0,0.04367107,0.098
1.0,0.04412461,0.108
1.0,0.04463954,0.102
1.0,0.0450937,0.102
1.0,0.04560589,0.098
1.0,0.04606563,0.1
1.0,0.04659398,0.104
1.0,0.04706359,0.106
1.0,0.04757795,0.1
1.0,0.04803237,0.096
1.0,0.04854302,0.106
1.0,0.04899474,0.102
1.0,0.04950732,0.108
1.0,0.0499597,0.102
1.0,0.05049772,0.1
1.0,0.0511217,0.11
1.0,0.05180504,0.102
1.0,0.05238396,0.108
1.0,0.05285737,0.094
1.0,0.05340706,0.102
1.0,0.05399818,0.108
1.0,0.0545337,0.102
1.0,0.05499887,0.1
1.0,0.05553133,0.094
1.0,0.05732956,0.216
1.0,0.06053706,0.216
1.0,0.06357909,0.22
1.0,0.06670104,0.216
1.0,0.06979691,0.218
1.0,0.07291454,0.22
1.0,0.07597372,0.222
1.0,0.07910983,0.222
1.0,0.08218772,0.222
1.0,0.08525283,0.218
1.0,0.08843378,0.222
1.0,0.09180672,0.224
1.0,0.09469902,0.224
1.0,0.10086206,0.224
1.0,0.1018325,0.222
1.0,0.10411396,0.224
1.0,0.10698418,0.224
1.0,0.11010985,0.224
1.0,0.11655974,0.228
1.0,0.11741385,0.228
1.0,0.11933531,0.226
1.0,0.12243406,0.228
1.0,0.12553763,0.228
1.0,0.12863045,0.23
1.0,0.13174182,0.228
1.0,0.13484856,0.228
1.0,0.13793748,0.23
1.0,0.14103087,0.232
1.0,0.14400672,0.232
1.0,0.14785307,0.232
1.0,0.15037043,0.236
1.0,0.1533048,0.232
1.0,0.15639874,0.232
1.0,0.159496,0.236
1.0,0.1625955,0.236
1.0,0.16576541,0.236
1.0,0.16884787,0.234
1.0,0.17189978,0.236
1.0,0.17499522,0.236
1.0,0.17811387,0.236
1.0,0.18153711,0.238
1.0,0.18453222,0.238
1.0,0.18747433,0.24
1.0,0.19062017,0.24
1.0,0.19364604,0.242
1.0,0.19672439,0.244
1.0,0.19980517,0.242
1.0,0.20290406,0.246
1.0,0.20601043,0.246
1.0,0.21186248,0.248
1.0,0.21243202,0.248
1.0,0.21532517,0.248
1.0,0.21841098,0.25
1.0,0.2214978,0.25
1.0,0.22458822,0.25
1.0,0.22777318,0.25
1.0,0.23083761,0.25
1.0,0.23394357,0.25
1.0,0.23698302,0.256
1.0,0.24008309,0.256
1.0,0.2449877,0.256
1.0,0.24629418,0.258
1.0,0.2494058,0.258
1.0,0.25250259,0.258
1.0,0.25558665,0.26
1.0,0.25872967,0.26
1.0,0.26179424,0.258
1.0,0.26489667,0.26
1.0,0.26805961,0.258
1.0,0.27113567,0.26
1.0,0.2759557,0.262
1.0,0.27730156,0.262
1.0,0.28047948,0.264
1.0,0.28351741,0.264
1.0,0.28661285,0.264
1.0,0.28973489,0.264
1.0,0.29281654,0.266
1.0,0.29596589,0.266
1.0,0.29906885,0.266
1.0,0.30212378,0.266
1.0,0.30620404,0.268
1.0,0.30950015,0.268
1.0,0.31164511,0.27
1.0,0.314586,0.274
1.0,0.31765115,0.272
1.0,0.32085141,0.274
1.0,0.32383298,0.274
1.0,0.32694289,0.274
1.0,0.33004826,0.278
1.0,0.33313644,0.278
1.0,0.33624237,0.278
1.0,0.34001339,0.278
1.0,0.34258702,0.28
1.0,0.34558689,0.282
1.0,0.34864883,0.28
1.0,0.35185557,0.28
1.0,0.35488583,0.28
1.0,0.35798352,0.282
1.0,0.36105324,0.282
1.0,0.36414939,0.282
1.0,0.36724813,0.286
1.0,0.37040218,0.284
1.0,0.37369702,0.286
1.0,0.37676072,0.284
1.0,0.37970904,0.286
1.0,0.38282285,0.29
1.0,0.38583213,0.288
1.0,0.38893398,0.29
1.0,0.39202782,0.288
1.0,0.39513563,0.292
1.0,0.3982468,0.292
1.0,0.40398807,0.29
1.0,0.404543,0.292
1.0,0.40755911,0.294
1.0,0.41066141,0.294
1.0,0.41381585,0.294
1.0,0.41686176,0.298
1.0,0.41996106,0.296
1.0,0.4231108,0.298
1.0,0.42620794,0.298
1.0,0.42926411,0.298
1.0,0.43236267,0.298
1.0,0.43721506,0.298
1.0,0.43856822,0.302
1.0,0.44167913,0.3
1.0,0.44487139,0.302
1.0,0.44786315,0.302
1.0,0.45096172,0.302
1.0,0.454064,0.302
1.0,0.4572002,0.304
1.0,0.460328,0.304
1.0,0.46339194,0.306
1.0,0.46814452,0.304
1.0,0.46954524,0.308
1.0,0.47265387,0.308
1.0,0.47576518,0.31
1.0,0.47884444,0.314
1.0,0.48194454,0.312
1.0,0.48504217,0.314
1.0,0.48818635,0.314
1.0,0.49129402,0.314
1.0,0.49434893,0.316
1.0,0.49845782,0.316
1.0,0.50179487,0.316
1.0,0.50385624,0.318
1.0,0.50682448,0.318
1.0,0.50992026,0.318
1.0,0.51296983,0.318
1.0,0.51605376,0.322
1.0,0.51915,0.324
1.0,0.52232707,0.324
1.0,0.52536056,0.326
1.0,0.52845428,0.324
1.0,0.53211422,0.326
1.0,0.53478002,0.328
1.0,0.53778913,0.328
1.0,0.54089207,0.326
1.0,0.54402561,0.328
1.0,0.54713526,0.328
1.0,0.5502238,0.328
1.0,0.55328702,0.328
1.0,0.55638307,0.33
1.0,0.55948644,0.332
1.0,0.56260778,0.332
1.0,0.56582507,0.33
1.0,0.5689103,0.332
1.0,0.57192702,0.332
1.0,0.57496969,0.332
1.0,0.57807018,0.332
1.0,0.58116769,0.334
1.0,0.58427815,0.336
1.0,0.58737657,0.336
1.0,0.59050839,0.336
1.0,0.59624515,0.336
1.0,0.59672055,0.338
1.0,0.5998028,0.34
1.0,0.60288122,0.34
1.0,0.60596289,0.34
1.0,0.60911304,0.338
1.0,0.61220826,0.34
1.0,0.61531535,0.342
1.0,0.6183683,0.342
1.0,0.62147133,0.34
1.0,0.62457002,0.344
1.0,0.62935811,0.344
1.0,0.63080615,0.344
1.0,0.63389111,0.344
1.0,0.63697717,0.348
1.0,0.64010878,0.348
1.0,0.64317226,0.35
1.0,0.64632181,0.352
1.0,0.64940363,0.35
1.0,0.65252411,0.352
1.0,0.65557106,0.352
1.0,0.66022609,0.354
1.0,0.66180585,0.352
1.0,0.66489343,0.352
1.0,0.66798355,0.352
1.0,0.67107493,0.352
1.0,0.6742265,0.354
1.0,0.67731865,0.354
1.0,0.680463,0.356
1.0,0.68347674,0.36
1.0,0.68657911,0.36
1.0,0.69063183,0.362
1.0,0.69385276,0.36
1.0,0.69612874,0.362
1.0,0.69900265,0.364
1.0,0.70208768,0.366
1.0,0.70517394,0.364
1.0,0.70827998,0.366
1.0,0.7113867,0.368
1.0,0.71448624,0.368
1.0,0.71759083,0.368
1.0,0.72073805,0.368
1.0,0.72455907,0.368
1.0,0.72691817,0.368
1.0,0.73001317,0.372
1.0,0.73312059,0.368
1.0,0.73618881,0.366
1.0,0.73928494,0.37
1.0,0.7424413,0.372
1.0,0.74554244,0.372
1.0,0.74864293,0.374
1.0,0.75169152,0.374
1.0,0.7548263,0.376
1.0,0.75804317,0.378
1.0,0.76109578,0.376
1.0,0.76410515,0.378
1.0,0.76720157,0.376
1.0,0.77033909,0.38
1.0,0.77339433,0.38
1.0,0.77649137,0.382
1.0,0.77959896,0.382
1.0,0.78269659,0.382
1.0,0.78832944,0.382
1.0,0.78891713,0.382
1.0,0.79202594,0.382
1.0,0.79510855,0.384
1.0,0.79819757,0.386
1.0,0.80137663,0.388
1.0,0.80445424,0.388
1.0,0.80755261,0.386
1.0,0.8106072,0.388
1.0,0.81371581,0.388
1.0,0.81853143,0.392
1.0,0.82169263,0.394
1.0,0.82303189,0.392
1.0,0.82614517,0.394
1.0,0.82923085,0.394
1.0,0.83232289,0.394
1.0,0.83542435,0.394
1.0,0.83851896,0.396
1.0,0.84167228,0.398
1.0,0.84478409,0.398
1.0,0.84792981,0.398
1.0,0.8526882,0.398
1.0,0.85403805,0.398
1.0,0.85714643,0.398
1.0,0.86023665,0.396
1.0,0.86332272,0.4
1.0,0.86642043,0.402
1.0,0.86956455,0.404
1.0,0.87266204,0.406
1.0,0.87571867,0.408
1.0,0.8788248,0.408
1.0,0.88283833,0.406
1.0,0.88611685,0.41
1.0,0.88834502,0.408
1.0,0.89122063,0.408
1.0,0.8943003,0.41
1.0,0.89739474,0.408
1.0,0.90052961,0.41
1.0,0.90359939,0.412
1.0,0.90670189,0.412
1.0,0.90982893,0.41
1.0,0.91298937,0.414
1.0,0.91676552,0.416
1.0,0.91923155,0.416
1.0,0.92223848,0.418
1.0,0.92531939,0.418
1.0,0.92841028,0.42
1.0,0.93151691,0.422
1.0,0.93466178,0.422
1.0,0.93775713,0.424
1.0,0.94087902,0.422
1.0,0.94394178,0.424
1.0,0.94704885,0.426
1.0,0.95031219,0.428
1.0,0.95338707,0.428
1.0,0.95639426,0.426
1.0,0.95944518,0.428
1.0,0.96253194,0.428
1.0,0.96562833,0.428
1.0,0.96873541,0.426
1.0,0.97183822,0.428
1.0,0.97494639,0.428
1.0,0.98069481,0.428
1.0,0.98118676,0.432
1.0,0.98426763,0.43
1.0,0.98735772,0.434
1.0,0.99049415,0.434
1.0,0.99354581,0.434
1.0,0.99669606,0.436
1.0,0.99980167,0.438
1.0,1.00291374,0.44
1.0,1.005951,0.44
1.0,1.00904865,0.44
1.0,1.01381418,0.44
1.0,1.01526542,0.442
1.0,1.0183678,0.442
1.0,1.021484,0.444
1.0,1.02458094,0.444
1.0,1.02766355,0.444
1.0,1.03082415,0.446
1.0,1.03395667,0.446
1.0,1.03697717,0.446
1.0,1.04008141,0.446
1.0,1.04473778,0.45
1.0,1.04629196,0.45
1.0,1.04940274,0.45
1.0,1.0524845,0.452
