time,vout
35.89075826,0.184
35.89385709,0.182
35.89721639,0.184
35.9000764,0.182
35.90323768,0.18
35.90633946,0.182
35.90943774,0.182
35.91261927,0.182
35.91567259,0.182
35.9188017,0.184
35.92190361,0.182
35.92524737,0.182
35.92815828,0.182
35.93123039,0.182
35.93436174,0.182
35.93746237,0.182
35.94054553,0.182
35.94368479,0.182
35.94687535,0.182
35.94994609,0.182
35.95310996,0.184
35.95620383,0.182
35.95924144,0.184
35.96238563,0.182
35.96548133,0.184
35.96869528,0.182
35.97175439,0.182
35.97486076,0.182
35.97806776,0.182
35.98112044,0.182
35.98421735,0.182
35.98732833,0.182
35.99048555,0.182
35.99354627,0.182
35.99666022,0.182
35.99979959,0.184
36.00287946,0.182
36.00600885,0.182
36.00916796,0.182
36.01231472,0.18
36.01536402,0.182
36.01845063,0.182
36.02162779,0.182
36.02474324,0.182
36.0278175,0.18
36.03102083,0.182
36.03420789,0.182
36.03717651,0.182
36.0402827,0.182
36.0434059,0.18
36.04653505,0.18
36.04962698,0.182
36.05275003,0.18
36.0559184,0.18
36.05907428,0.18
36.06208218,0.182
36.06527463,0.18
36.06834994,0.18
36.07143333,0.18
36.07460052,0.18
36.07770103,0.18
36.08084566,0.18
36.08389715,0.18
36.08715079,0.178
36.09021379,0.18
36.09326137,0.18
36.09638307,0.18
36.099479,0.178
36.10264685,0.178
36.1057079,0.178
36.10892657,0.178
36.11203913,0.18
36.1150765,0.178
36.11821311,0.178
36.12135116,0.178
36.12452215,0.178
36.12755378,0.178
36.13077176,0.176
36.13380089,0.178
36.13689255,0.176
36.1400807,0.176
36.14315531,0.176
36.14623948,0.174
36.14933992,0.174
36.15247885,0.174
36.15554894,0.174
36.15868578,0.174
36.16184566,0.174
36.16497013,0.174
36.16808607,0.172
36.17114207,0.172
36.17426887,0.174
36.17735098,0.172
36.18049698,0.172
36.18366876,0.172
36.18673931,0.172
36.18986346,0.172
36.19303228,0.172
36.19607477,0.17
36.19918674,0.17
36.20236703,0.17
36.20548046,0.17
36.20860476,0.17
36.21170257,0.172
36.21479037,0.176
36.21791129,0.184
36.22114726,0.188
36.22415137,0.19
36.22723879,0.194
36.23038005,0.198
36.23348644,0.214
36.23661551,0.238
36.23971631,0.284
36.24287705,0.312
36.24606218,0.352
36.24910355,0.394
36.25222013,0.43
36.25530652,0.462
36.25840361,0.48
36.26152396,0.496
36.26467759,0.51
36.26775994,0.532
36.27086337,0.548
36.27406103,0.558
36.27709876,0.57
36.28006887,0.576
36.28317155,0.584
36.28635313,0.594
36.28941774,0.598
36.29254444,0.606
36.2956269,0.612
36.29875024,0.616
36.30190535,0.622
36.30496655,0.63
36.30809448,0.634
36.31119577,0.644
36.31431431,0.652
36.31740926,0.658
36.32051446,0.666
36.32362265,0.67
36.32672466,0.678
36.32995889,0.682
36.33296292,0.688
36.33609957,0.694
36.33956339,0.698
36.34243096,0.702
36.34540827,0.712
36.34852764,0.716
36.35169583,0.718
36.35476959,0.72
36.35791165,0.722
36.36100814,0.724
36.36410042,0.726
36.36723427,0.726
36.37033314,0.73
36.37348796,0.732
36.3766079,0.736
36.37973333,0.736
36.3828262,0.74
36.38591459,0.74
36.38903216,0.742
36.39213077,0.744
36.39527892,0.746
36.39847689,0.748
36.40153037,0.752
36.40463194,0.752
36.40774244,0.754
36.41081883,0.756
36.41398229,0.758
36.41704938,0.76
36.42017487,0.762
36.42332811,0.76
36.42643153,0.762
36.42951231,0.762
36.4326932,0.764
36.435738,0.766
36.43894177,0.766
36.44202972,0.766
36.4450715,0.768
36.44825611,0.77
36.4513602,0.77
36.45442487,0.77
36.45754461,0.772
36.46066311,0.772
36.46379177,0.772
36.4669265,0.772
36.47004401,0.772
36.47320826,0.772
36.47625807,0.772
36.47983996,0.772
36.48245118,0.772
36.48556681,0.772
36.48873264,0.77
36.49181027,0.768
36.49493502,0.768
36.4980467,0.764
36.50117533,0.764
36.50436259,0.762
36.50737688,0.76
36.51049892,0.76
36.51367124,0.756
36.51681559,0.756
36.51992642,0.756
36.52299405,0.752
36.5261305,0.75
36.52922183,0.75
36.53233677,0.746
36.53544427,0.744
36.5385972,0.742
36.54164348,0.74
36.54476052,0.74
36.54786244,0.738
36.55099411,0.738
36.55410026,0.734
36.55720053,0.734
36.56035177,0.732
36.56344957,0.73
36.56651488,0.73
36.56968239,0.728
36.57278305,0.728
36.57592944,0.728
36.57903198,0.728
36.58208605,0.728
36.58524207,0.726
36.58831035,0.726
36.59145814,0.726
36.59457692,0.724
36.59762792,0.722
36.60073035,0.722
36.60385831,0.722
36.60703738,0.72
36.61010316,0.722
36.6132312,0.722
36.6163485,0.722
36.61948653,0.722
36.62257852,0.722
36.62570583,0.722
36.62888407,0.722
36.63195474,0.722
36.63506411,0.722
36.63818515,0.722
36.64132431,0.722
36.64441346,0.722
36.647589,0.722
36.65072779,0.722
36.65376501,0.722
36.6569485,0.724
36.66009568,0.722
36.66311252,0.724
36.66625283,0.724
36.66936288,0.724
36.67247387,0.726
36.67562718,0.724
36.67874342,0.724
36.68185739,0.724
36.68504829,0.724
36.68812887,0.724
36.69128183,0.724
36.69435785,0.724
36.69748248,0.724
36.70059453,0.724
36.7037385,0.724
36.70686979,0.724
36.71004387,0.724
36.71311555,0.724
