Time,Displacement,Force,Compressive displacement,voltage_1
0.0,0.0,0.1713,0.0,0.0609
0.005,0.0,0.1715,0.0,0.0609
0.01,0.0,0.1717,0.0,0.0609
0.015,0.0,0.1718,0.0,0.0609
0.02,0.0,0.1719,0.0,0.0609
0.025,0.0,0.1719,0.0,0.0609
0.03,0.0,0.172,0.0,0.0609
0.035,0.0,0.1721,0.0,0.0609
0.04,0.0,0.1721,0.0,0.0609
0.045,0.0001,0.172,0.0001,0.0609
0.05,0.0001,0.1718,0.0001,0.0609
0.055,0.0003,0.1718,0.0003,0.0609
0.06,0.0006,0.172,0.0006,0.0609
0.065,0.001,0.1726,0.001,0.0609
0.07,0.0017,0.1735,0.0017,0.0609
0.075,0.0027,0.1749,0.0027,0.0609
0.08,0.004,0.1765,0.004,0.0609
0.085,0.0055,0.1782,0.0055,0.0609
0.09,0.0073,0.1802,0.0072,0.0609
0.095,0.0091,0.1823,0.0091,0.0609
0.1,0.0108,0.1848,0.0108,0.0609
0.105,0.0125,0.1877,0.0125,0.0609
0.11,0.014,0.1909,0.014,0.0609
0.115,0.0155,0.1942,0.0154,0.0609
0.12,0.0168,0.1973,0.0167,0.0609
0.125,0.018,0.2003,0.018,0.0609
0.13,0.0192,0.203,0.0192,0.0609
0.135,0.0204,0.2059,0.0204,0.0609
0.14,0.0217,0.209,0.0217,0.0609
0.145,0.023,0.2121,0.0229,0.0609
0.15,0.0243,0.2151,0.0243,0.0609
0.155,0.0257,0.218,0.0257,0.0609
0.16,0.0271,0.2206,0.0271,0.0609
0.165,0.0286,0.2232,0.0285,0.0609
0.17,0.03,0.2262,0.03,0.0609
0.175,0.0315,0.2293,0.0315,0.0609
0.18,0.0329,0.2325,0.0329,0.0609
0.185,0.0342,0.2354,0.0342,0.0609
0.19,0.0354,0.2379,0.0354,0.0609
0.195,0.0367,0.24,0.0366,0.0609
0.2,0.0379,0.2421,0.0379,0.0609
0.205,0.0391,0.2444,0.0391,0.0609
0.21,0.0404,0.2468,0.0404,0.0609
