sync,time,vout
1.0,0.01146963,0.1
1.0,0.01259433,0.1
1.0,0.01638004,0.102
1.0,0.01737128,0.102
1.0,0.01831763,0.102
1.0,0.01925841,0.102
1.0,0.02039137,0.102
1.0,0.02136024,0.102
1.0,0.02228913,0.104
1.0,0.02320617,0.102
1.0,0.02412082,0.1
1.0,0.02503802,0.1
1.0,0.02623482,0.102
1.0,0.03027548,0.1
1.0,0.03155124,0.1
1.0,0.0325978,0.102
1.0,0.03351696,0.1
1.0,0.03442565,0.1
1.0,0.03533137,0.104
1.0,0.03623704,0.102
1.0,0.03713606,0.102
1.0,0.03803883,0.1
1.0,0.03897843,0.102
1.0,0.03989628,0.102
1.0,0.04592272,0.1
1.0,0.04665767,0.1
1.0,0.04740398,0.104
1.0,0.04810276,0.1
1.0,0.04891302,0.1
1.0,0.0497105,0.1
1.0,0.05038463,0.1
1.0,0.05103733,0.102
1.0,0.05168444,0.102
1.0,0.05284091,0.102
1.0,0.05351628,0.102
1.0,0.05421483,0.1
1.0,0.05486122,0.1
1.0,0.0555177,0.102
1.0,0.05616537,0.1
1.0,0.05681213,0.1
1.0,0.05745898,0.102
1.0,0.05810782,0.102
1.0,0.05878398,0.1
1.0,0.05944054,0.1
1.0,0.06008583,0.102
1.0,0.06126889,0.102
1.0,0.06206369,0.102
1.0,0.06333159,0.102
1.0,0.0640813,0.1
1.0,0.06484776,0.102
1.0,0.0656683,0.102
1.0,0.06634576,0.1
1.0,0.06699743,0.1
1.0,0.06779776,0.1
1.0,0.0685303,0.102
1.0,0.06940278,0.102
1.0,0.07009889,0.102
1.0,0.07113209,0.1
1.0,0.07186724,0.1
1.0,0.07267559,0.102
1.0,0.07359911,0.1
1.0,0.07450017,0.102
1.0,0.0774222,0.1
1.0,0.0805442,0.102
1.0,0.08364383,0.1
1.0,0.08688302,0.1
1.0,0.08986854,0.102
1.0,0.09293341,0.1
1.0,0.09573644,0.102
1.0,0.09884196,0.1
1.0,0.10195235,0.1
1.0,0.10505561,0.102
1.0,0.10816854,0.1
1.0,0.11128846,0.102
1.0,0.11446148,0.102
1.0,0.11755011,0.1
1.0,0.12060654,0.102
1.0,0.12370122,0.102
1.0,0.12680465,0.1
1.0,0.1299107,0.1
1.0,0.13301609,0.102
1.0,0.13613572,0.102
1.0,0.13958043,0.1
1.0,0.14236493,0.1
1.0,0.14547809,0.1
1.0,0.14857702,0.1
1.0,0.15165731,0.102
1.0,0.15476154,0.102
1.0,0.15788604,0.104
1.0,0.16098848,0.102
1.0,0.16408207,0.1
1.0,0.16720713,0.102
1.0,0.17031354,0.102
1.0,0.17346844,0.102
1.0,0.17655907,0.102
1.0,0.17970254,0.102
1.0,0.18277322,0.1
1.0,0.18585528,0.104
1.0,0.18896172,0.102
1.0,0.1920652,0.1
1.0,0.19517359,0.1
1.0,0.19829596,0.1
1.0,0.20137743,0.1
1.0,0.20460609,0.1
1.0,0.2076172,0.102
1.0,0.21073659,0.102
1.0,0.21382096,0.1
1.0,0.21691522,0.1
1.0,0.22003183,0.1
1.0,0.22314472,0.102
1.0,0.22624476,0.1
1.0,0.22935465,0.102
1.0,0.23246567,0.102
1.0,0.23557655,0.102
1.0,0.23868374,0.102
1.0,0.24179757,0.1
1.0,0.24489093,0.1
1.0,0.24798983,0.102
1.0,0.25109357,0.1
1.0,0.25420089,0.102
1.0,0.25730322,0.102
1.0,0.26047144,0.102
1.0,0.2635257,0.1
1.0,0.26664081,0.102
1.0,0.26976683,0.102
1.0,0.27290617,0.102
1.0,0.27595872,0.1
1.0,0.27905985,0.102
1.0,0.28216606,0.102
1.0,0.28526517,0.1
1.0,0.2884178,0.1
1.0,0.2915828,0.1
1.0,0.29459761,0.1
1.0,0.2977077,0.102
1.0,0.30081743,0.1
1.0,0.30398718,0.1
1.0,0.30707783,0.1
1.0,0.31012355,0.102
1.0,0.31322752,0.1
1.0,0.31633959,0.1
1.0,0.31947813,0.1
1.0,0.32254167,0.1
1.0,0.32566181,0.102
1.0,0.32876213,0.1
1.0,0.33189055,0.1
1.0,0.33498339,0.102
1.0,0.33809687,0.1
1.0,0.34117848,0.1
1.0,0.34428952,0.102
1.0,0.34738885,0.102
1.0,0.35054109,0.1
1.0,0.35360935,0.1
1.0,0.35671619,0.102
1.0,0.35981239,0.098
1.0,0.3629295,0.1
1.0,0.3660565,0.1
1.0,0.36916602,0.098
1.0,0.37224148,0.102
1.0,0.37534065,0.1
1.0,0.37850707,0.098
1.0,0.38156291,0.102
1.0,0.38467283,0.102
1.0,0.3877743,0.102
1.0,0.39087189,0.1
1.0,0.39398365,0.102
1.0,0.39712463,0.1
1.0,0.40021968,0.1
1.0,0.40340618,0.102
1.0,0.40639737,0.102
1.0,0.40954648,0.1
1.0,0.41261902,0.1
1.0,0.41572278,0.102
1.0,0.4188292,0.1
1.0,0.42194128,0.102
1.0,0.42504839,0.102
1.0,0.42816248,0.1
1.0,0.43127959,0.102
1.0,0.4343882,0.1
1.0,0.4375013,0.102
1.0,0.44057809,0.1
1.0,0.44368889,0.102
1.0,0.44680293,0.102
1.0,0.44990213,0.1
1.0,0.45300967,0.1
1.0,0.45612694,0.1
1.0,0.45923446,0.1
1.0,0.46235959,0.102
1.0,0.46553972,0.102
1.0,0.4685707,0.1
1.0,0.47164172,0.1
1.0,0.47475102,0.102
1.0,0.47785563,0.102
1.0,0.48096302,0.1
1.0,0.48407719,0.102
1.0,0.48721809,0.102
1.0,0.49029256,0.102
1.0,0.49341128,0.102
1.0,0.49663318,0.1
1.0,0.49967911,0.102
1.0,0.50273854,0.102
1.0,0.50582302,0.102
1.0,0.50893778,0.102
1.0,0.51204809,0.102
1.0,0.51515341,0.1
1.0,0.51826413,0.102
1.0,0.52136307,0.1
1.0,0.52457283,0.102
1.0,0.5276757,0.1
1.0,0.53074228,0.1
1.0,0.5337905,0.102
1.0,0.53689398,0.102
1.0,0.54000713,0.1
1.0,0.54311593,0.102
1.0,0.5462117,0.102
1.0,0.54931802,0.102
1.0,0.55242674,0.102
1.0,0.55557574,0.102
1.0,0.5586655,0.1
1.0,0.56182167,0.104
1.0,0.56490474,0.1
1.0,0.56795635,0.102
1.0,0.57107357,0.1
1.0,0.5742445,0.102
1.0,0.57727665,0.1
1.0,0.58039839,0.102
1.0,0.58351622,0.1
1.0,0.58661244,0.102
1.0,0.5897435,0.102
1.0,0.59284054,0.1
1.0,0.59595822,0.102
1.0,0.59904204,0.102
1.0,0.60214687,0.1
1.0,0.60528937,0.102
1.0,0.60839309,0.1
1.0,0.61156178,0.102
1.0,0.614581,0.102
1.0,0.61766431,0.102
1.0,0.62079024,0.102
1.0,0.62392322,0.102
1.0,0.62702554,0.102
1.0,0.63014665,0.102
1.0,0.63322007,0.102
1.0,0.63631572,0.1
1.0,0.63942291,0.1
1.0,0.64258248,0.102
1.0,0.64564839,0.102
1.0,0.64875967,0.102
1.0,0.65186313,0.102
1.0,0.6549843,0.1
1.0,0.65813287,0.1
1.0,0.66118533,0.098
1.0,0.66428965,0.1
1.0,0.66740818,0.098
1.0,0.67052922,0.102
1.0,0.673615,0.1
1.0,0.67671526,0.1
1.0,0.67982243,0.102
1.0,0.68292676,0.102
1.0,0.68605843,0.102
1.0,0.689289,0.1
1.0,0.69230735,0.102
1.0,0.69535133,0.102
1.0,0.69845826,0.1
1.0,0.70159002,0.102
1.0,0.70467918,0.102
1.0,0.7077867,0.102
1.0,0.71089348,0.1
1.0,0.71399622,0.1
1.0,0.71713028,0.1
1.0,0.72029226,0.1
1.0,0.72331883,0.102
1.0,0.72641404,0.1
1.0,0.72955585,0.102
1.0,0.73264626,0.102
1.0,0.73574244,0.102
1.0,0.73884504,0.102
1.0,0.74195468,0.1
1.0,0.74506128,0.1
1.0,0.74821139,0.102
1.0,0.75270813,0.1
1.0,0.75439687,0.102
1.0,0.75756674,0.098
1.0,0.76060091,0.102
1.0,0.76370931,0.1
1.0,0.76681639,0.102
1.0,0.76996078,0.1
1.0,0.77302589,0.102
1.0,0.7761325,0.1
1.0,0.77923863,0.102
1.0,0.78362676,0.1
1.0,0.78546859,0.102
1.0,0.78864007,0.102
1.0,0.79167526,0.102
1.0,0.79478072,0.102
1.0,0.79788642,0.1
1.0,0.80098894,0.1
1.0,0.80423276,0.1
1.0,0.80720592,0.102
1.0,0.81030968,0.1
1.0,0.81343915,0.102
1.0,0.81764322,0.1
1.0,0.81967711,0.1
1.0,0.82273576,0.102
1.0,0.82584213,0.1
1.0,0.82893815,0.102
1.0,0.83205335,0.1
1.0,0.83515956,0.102
1.0,0.83830043,0.102
1.0,0.84137037,0.1
1.0,0.84461361,0.102
1.0,0.8478908,0.102
1.0,0.85072515,0.102
1.0,0.85380791,0.1
1.0,0.8569127,0.1
1.0,0.86002035,0.102
1.0,0.863124,0.1
1.0,0.86623981,0.102
1.0,0.86933968,0.102
1.0,0.87244352,0.102
1.0,0.87556072,0.1
1.0,0.87867909,0.102
1.0,0.88190092,0.102
1.0,0.8849097,0.102
1.0,0.88799265,0.102
1.0,0.89109402,0.102
1.0,0.89419929,0.102
1.0,0.89731365,0.104
1.0,0.90042578,0.106
1.0,0.90356124,0.11
1.0,0.90663965,0.112
