Time,Displacement,Force,Compressive displacement,voltage_1
(s),(mm),(N),(mm),(V)
"0.0000","0.0000","0.2354","0.0000","0.0604"
"0.0050","0.0000","0.2354","0.0000","0.0604"
"0.0100","0.0000","0.2352","0.0000","0.0604"
"0.0150","0.0000","0.2351","0.0000","0.0604"
"0.0200","0.0000","0.2349","0.0000","0.0604"
"0.0250","0.0000","0.2347","0.0000","0.0604"
"0.0300","0.0000","0.2347","0.0000","0.0604"
"0.0350","0.0000","0.2349","0.0000","0.0604"
"0.0400","0.0001","0.2352","0.0000","0.0604"
"0.0450","0.0001","0.2356","0.0001","0.0604"
"0.0500","0.0002","0.2360","0.0002","0.0604"
"0.0550","0.0004","0.2364","0.0004","0.0604"
"0.0600","0.0008","0.2368","0.0008","0.0604"
"0.0650","0.0014","0.2371","0.0014","0.0604"
"0.0700","0.0023","0.2375","0.0023","0.0604"
"0.0750","0.0035","0.2382","0.0035","0.0604"
"0.0800","0.0051","0.2393","0.0050","0.0604"
"0.0850","0.0068","0.2407","0.0068","0.0604"
"0.0900","0.0086","0.2421","0.0086","0.0604"
"0.0950","0.0104","0.2435","0.0104","0.0604"
"0.1000","0.0122","0.2447","0.0122","0.0604"
"0.1050","0.0138","0.2457","0.0138","0.0604"
"0.1100","0.0153","0.2466","0.0153","0.0604"
"0.1150","0.0167","0.2475","0.0167","0.0604"
"0.1200","0.0181","0.2486","0.0180","0.0604"
"0.1250","0.0194","0.2496","0.0194","0.0604"
"0.1300","0.0207","0.2507","0.0207","0.0604"
"0.1350","0.0221","0.2519","0.0221","0.0604"
"0.1400","0.0235","0.2535","0.0235","0.0604"
"0.1450","0.0250","0.2552","0.0250","0.0604"
"0.1500","0.0266","0.2571","0.0265","0.0604"
"0.1550","0.0281","0.2590","0.0281","0.0604"
"0.1600","0.0296","0.2606","0.0296","0.0604"
"0.1650","0.0311","0.2621","0.0311","0.0604"
"0.1700","0.0325","0.2633","0.0325","0.0604"
"0.1750","0.0338","0.2645","0.0338","0.0604"
"0.1800","0.0350","0.2659","0.0350","0.0604"
"0.1850","0.0362","0.2674","0.0361","0.0604"
"0.1900","0.0373","0.2689","0.0373","0.0604"
"0.1950","0.0385","0.2704","0.0385","0.0604"
"0.2000","0.0397","0.2716","0.0397","0.0604"
"0.2050","0.0410","0.2729","0.0410","0.0604"
"0.2100","0.0423","0.2742","0.0423","0.0604"
"0.2150","0.0437","0.2757","0.0437","0.0604"
"0.2200","0.0451","0.2774","0.0451","0.0604"
"0.2250","0.0465","0.2789","0.0465","0.0604"
"0.2300","0.0479","0.2801","0.0478","0.0604"
"0.2350","0.0492","0.2808","0.0492","0.0604"
"0.2400","0.0506","0.2814","0.0506","0.0604"
"0.2450","0.0520","0.2821","0.0520","0.0604"
"0.2500","0.0535","0.2833","0.0534","0.0604"
"0.2550","0.0550","0.2848","0.0550","0.0604"
