sync,time,vout
1.0,0.04673963,0.12
1.0,0.04979189,0.122
1.0,0.05291257,0.12
1.0,0.05604717,0.12
1.0,0.05914657,0.122
1.0,0.06225772,0.118
1.0,0.06538217,0.118
1.0,0.06849517,0.118
1.0,0.07160917,0.12
1.0,0.07473385,0.12
1.0,0.07784311,0.12
1.0,0.0809812,0.126
1.0,0.08408965,0.116
1.0,0.08721839,0.122
1.0,0.09032369,0.122
1.0,0.09343991,0.124
1.0,0.09655352,0.12
1.0,0.09966926,0.126
1.0,0.10279311,0.126
1.0,0.1058897,0.124
1.0,0.10906556,0.128
1.0,0.11214206,0.126
1.0,0.11501644,0.126
1.0,0.11813282,0.126
1.0,0.12125698,0.132
1.0,0.12437256,0.128
1.0,0.12749935,0.126
1.0,0.13061032,0.14
1.0,0.13374926,0.122
1.0,0.1368508,0.128
1.0,0.13996026,0.126
1.0,0.14307406,0.126
1.0,0.14619011,0.124
1.0,0.14930909,0.124
1.0,0.1524383,0.126
1.0,0.15554141,0.122
1.0,0.15865917,0.122
1.0,0.16180944,0.126
1.0,0.16488685,0.134
1.0,0.16802906,0.128
1.0,0.17114039,0.13
1.0,0.17427622,0.126
1.0,0.17738156,0.128
1.0,0.18050068,0.13
1.0,0.18361707,0.136
1.0,0.18678237,0.128
1.0,0.18985163,0.128
1.0,0.19297006,0.128
1.0,0.19613252,0.128
1.0,0.1992433,0.132
1.0,0.20231467,0.13
1.0,0.20545083,0.132
1.0,0.20856743,0.132
1.0,0.21167633,0.13
1.0,0.21482198,0.134
1.0,0.21791356,0.128
1.0,0.22107806,0.134
1.0,0.2241838,0.134
1.0,0.227264,0.132
1.0,0.23038896,0.134
1.0,0.23351443,0.136
1.0,0.23666933,0.132
1.0,0.23976444,0.13
1.0,0.24293826,0.132
1.0,0.24606195,0.134
1.0,0.24915511,0.136
1.0,0.25226783,0.134
1.0,0.25539259,0.136
1.0,0.25851309,0.136
1.0,0.26162324,0.138
1.0,0.26476665,0.134
1.0,0.26786137,0.138
1.0,0.27102459,0.14
1.0,0.27414809,0.138
1.0,0.27722181,0.138
1.0,0.28034668,0.132
1.0,0.2834617,0.138
1.0,0.28657778,0.138
1.0,0.28970406,0.138
1.0,0.29287513,0.138
1.0,0.29599859,0.136
1.0,0.29909378,0.14
1.0,0.30216969,0.138
1.0,0.30528478,0.136
1.0,0.30840341,0.136
1.0,0.31152146,0.14
