Time,Displacement,Force,Compressive displacement,voltage_1
(s),(mm),(N),(mm),(V)
"0.0000","0.0112","0.1019","0.0000","0.0607"
"0.0050","0.0112","0.1019","0.0000","0.0606"
"0.0100","0.0112","0.1019","0.0000","0.0606"
"0.0150","0.0112","0.1019","0.0000","0.0607"
"0.0200","0.0112","0.1019","0.0000","0.0606"
"0.0250","0.0112","0.1019","0.0000","0.0606"
"0.0300","0.0112","0.1020","0.0000","0.0606"
"0.0350","0.0112","0.1022","0.0000","0.0606"
"0.0400","0.0112","0.1022","0.0000","0.0606"
"0.0450","0.0112","0.1021","0.0000","0.0606"
"0.0500","0.0113","0.1022","0.0001","0.0607"
"0.0550","0.0114","0.1022","0.0002","0.0606"
"0.0600","0.0116","0.1024","0.0004","0.0606"
"0.0650","0.0118","0.1028","0.0007","0.0606"
"0.0700","0.0123","0.1034","0.0011","0.0606"
"0.0750","0.0129","0.1041","0.0017","0.0605"
"0.0800","0.0138","0.1053","0.0026","0.0606"
"0.0850","0.0149","0.1068","0.0037","0.0606"
"0.0900","0.0163","0.1088","0.0051","0.0606"
"0.0950","0.0179","0.1112","0.0067","0.0606"
"0.1000","0.0195","0.1138","0.0083","0.0607"
"0.1050","0.0211","0.1165","0.0099","0.0606"
"0.1100","0.0226","0.1193","0.0114","0.0606"
"0.1150","0.0240","0.1223","0.0128","0.0607"
"0.1200","0.0254","0.1256","0.0142","0.0606"
"0.1250","0.0268","0.1293","0.0156","0.0606"
"0.1300","0.0282","0.1332","0.0170","0.0606"
"0.1350","0.0297","0.1373","0.0185","0.0607"
"0.1400","0.0313","0.1415","0.0201","0.0606"
"0.1450","0.0329","0.1456","0.0217","0.0606"
"0.1500","0.0344","0.1495","0.0233","0.0607"
"0.1550","0.0360","0.1535","0.0248","0.0606"
"0.1600","0.0376","0.1576","0.0264","0.0606"
"0.1650","0.0391","0.1617","0.0279","0.0607"
"0.1700","0.0407","0.1659","0.0295","0.0606"
"0.1750","0.0424","0.1702","0.0312","0.0606"
"0.1800","0.0441","0.1745","0.0329","0.0606"
"0.1850","0.0459","0.1788","0.0347","0.0606"
"0.1900","0.0477","0.1833","0.0365","0.0606"
"0.1950","0.0495","0.1878","0.0383","0.0606"
"0.2000","0.0513","0.1925","0.0401","0.0607"
"0.2050","0.0531","0.1970","0.0419","0.0606"
"0.2100","0.0547","0.2012","0.0435","0.0606"
"0.2150","0.0562","0.2049","0.0450","0.0606"
"0.2200","0.0576","0.2085","0.0465","0.0606"
"0.2250","0.0591","0.2119","0.0479","0.0605"
"0.2300","0.0605","0.2151","0.0493","0.0606"
"0.2350","0.0620","0.2182","0.0508","0.0606"
