Time,Displacement,Force,Compressive displacement,voltage_1
(s),(mm),(N),(mm),(V)
"0.0000","0.0000","0.4040","0.0000","0.0608"
"0.0050","0.0000","0.4039","0.0000","0.0607"
"0.0100","0.0000","0.4037","0.0000","0.0607"
"0.0150","0.0000","0.4034","0.0000","0.0608"
"0.0200","0.0000","0.4031","0.0000","0.0608"
"0.0250","0.0000","0.4028","0.0000","0.0607"
"0.0300","0.0000","0.4028","0.0000","0.0608"
"0.0350","0.0000","0.4031","0.0000","0.0608"
"0.0400","0.0000","0.4035","0.0000","0.0607"
"0.0450","0.0001","0.4037","0.0001","0.0608"
"0.0500","0.0002","0.4039","0.0002","0.0608"
"0.0550","0.0003","0.4040","0.0003","0.0608"
"0.0600","0.0007","0.4041","0.0006","0.0607"
"0.0650","0.0011","0.4047","0.0011","0.0608"
"0.0700","0.0018","0.4058","0.0018","0.0608"
"0.0750","0.0027","0.4078","0.0027","0.0607"
"0.0800","0.0039","0.4107","0.0039","0.0608"
"0.0850","0.0053","0.4145","0.0053","0.0608"
"0.0900","0.0070","0.4192","0.0070","0.0607"
"0.0950","0.0088","0.4248","0.0088","0.0608"
"0.1000","0.0105","0.4314","0.0105","0.0608"
"0.1050","0.0122","0.4388","0.0122","0.0608"
"0.1100","0.0137","0.4471","0.0137","0.0607"
"0.1150","0.0151","0.4557","0.0151","0.0608"
"0.1200","0.0163","0.4644","0.0163","0.0608"
"0.1250","0.0175","0.4728","0.0175","0.0607"
"0.1300","0.0186","0.4810","0.0186","0.0608"
"0.1350","0.0198","0.4889","0.0198","0.0608"
"0.1400","0.0210","0.4967","0.0209","0.0607"
"0.1450","0.0223","0.5045","0.0222","0.0608"
"0.1500","0.0236","0.5122","0.0236","0.0608"
"0.1550","0.0251","0.5198","0.0251","0.0608"
"0.1600","0.0265","0.5271","0.0265","0.0607"
"0.1650","0.0280","0.5342","0.0280","0.0608"
"0.1700","0.0294","0.5411","0.0294","0.0608"
"0.1750","0.0309","0.5480","0.0309","0.0607"
"0.1800","0.0323","0.5551","0.0323","0.0608"
"0.1850","0.0338","0.5624","0.0338","0.0608"
"0.1900","0.0353","0.5698","0.0352","0.0607"
"0.1950","0.0368","0.5773","0.0368","0.0608"
"0.2000","0.0384","0.5848","0.0384","0.0608"
"0.2050","0.0400","0.5924","0.0400","0.0608"
"0.2100","0.0417","0.6002","0.0417","0.0607"
"0.2150","0.0434","0.6082","0.0434","0.0608"
"0.2200","0.0450","0.6163","0.0450","0.0608"
"0.2250","0.0467","0.6243","0.0467","0.0607"
"0.2300","0.0482","0.6323","0.0482","0.0608"
"0.2350","0.0497","0.6402","0.0497","0.0608"
"0.2400","0.0512","0.6480","0.0511","0.0607"
"0.2450","0.0526","0.6557","0.0526","0.0608"
"0.2500","0.0540","0.6632","0.0540","0.0608"
"0.2550","0.0555","0.6706","0.0555","0.0608"
