Time,Displacement,Force,Compressive displacement,voltage_1
0.0,0.0113,0.1037,0.0,-0.0595
0.005,0.0113,0.1038,0.0,-0.0595
0.01,0.0113,0.1038,0.0,-0.0595
0.015,0.0113,0.1037,0.0,-0.0595
0.02,0.0113,0.1033,0.0,-0.0595
0.025,0.0113,0.1028,0.0,-0.0595
0.03,0.0113,0.1024,0.0,-0.0595
0.035,0.0113,0.1023,0.0,-0.0595
0.04,0.0113,0.1023,0.0,-0.0595
0.045,0.0113,0.1025,0.0,-0.0595
0.05,0.0114,0.1026,0.0001,-0.0595
0.055,0.0114,0.1025,0.0001,-0.0595
0.06,0.0116,0.1026,0.0003,-0.0595
0.065,0.0118,0.1028,0.0005,-0.0595
0.07,0.0121,0.1032,0.0009,-0.0595
0.075,0.0126,0.104,0.0013,-0.0595
0.08,0.0133,0.1051,0.002,-0.0595
0.085,0.0142,0.1064,0.0029,-0.0595
0.09,0.0152,0.1077,0.004,-0.0595
0.095,0.0165,0.1091,0.0052,-0.0595
0.1,0.018,0.1106,0.0067,-0.0595
0.105,0.0194,0.1123,0.0081,-0.0595
0.11,0.0208,0.1141,0.0095,-0.0595
0.115,0.022,0.1159,0.0107,-0.0595
0.12,0.0232,0.1177,0.0119,-0.0595
0.125,0.0242,0.1194,0.0129,-0.0595
0.13,0.0253,0.121,0.014,-0.0595
0.135,0.0264,0.1228,0.0151,-0.0595
0.14,0.0275,0.1248,0.0162,-0.0595
0.145,0.0286,0.127,0.0173,-0.0595
0.15,0.0298,0.1293,0.0185,-0.0595
0.155,0.031,0.1317,0.0197,-0.0595
0.16,0.0323,0.1341,0.021,-0.0595
0.165,0.0336,0.1366,0.0223,-0.0595
0.17,0.0349,0.1389,0.0236,-0.0595
0.175,0.0362,0.141,0.0249,-0.0595
0.18,0.0375,0.1433,0.0262,-0.0595
0.185,0.0387,0.1456,0.0275,-0.0595
0.19,0.04,0.1478,0.0287,-0.0595
0.195,0.0413,0.1501,0.03,-0.0595
0.2,0.0426,0.1524,0.0313,-0.0595
0.205,0.0439,0.1546,0.0326,-0.0595
0.21,0.0453,0.1569,0.034,-0.0595
0.215,0.0467,0.1591,0.0354,-0.0595
0.22,0.0482,0.1613,0.0369,-0.0595
0.225,0.0496,0.1636,0.0384,-0.0595
0.23,0.0511,0.1658,0.0398,-0.0595
0.235,0.0526,0.1679,0.0413,-0.0595
0.24,0.0539,0.1703,0.0427,-0.0595
0.245,0.0552,0.1726,0.044,-0.0595
0.25,0.0565,0.1749,0.0452,-0.0595
0.255,0.0577,0.1772,0.0464,-0.0595
0.26,0.0588,0.1795,0.0476,-0.0595
0.265,0.06,0.1815,0.0488,-0.0595
0.27,0.0613,0.1835,0.05,-0.0595
0.275,0.0625,0.1853,0.0512,-0.0595
0.28,0.0638,0.1874,0.0525,-0.0595
0.285,0.0652,0.1898,0.0539,-0.0595
0.29,0.0665,0.192,0.0552,-0.0595
0.295,0.0679,0.1939,0.0566,-0.0595
0.3,0.0693,0.1959,0.058,-0.0595
0.305,0.0706,0.198,0.0594,-0.0595
0.31,0.0719,0.2001,0.0606,-0.0595
0.315,0.0731,0.2022,0.0618,-0.0595
0.32,0.0741,0.2042,0.0628,-0.0595
0.325,0.0752,0.2061,0.0639,-0.0595
0.33,0.0762,0.2081,0.0649,-0.0595
0.335,0.0772,0.2099,0.0659,-0.0595
0.34,0.0782,0.2116,0.0669,-0.0595
0.345,0.0792,0.2134,0.0679,-0.0595
0.35,0.0803,0.2152,0.069,-0.0595
0.355,0.0815,0.2169,0.0702,-0.0595
0.36,0.0827,0.2186,0.0714,-0.0595
0.365,0.0839,0.2201,0.0726,-0.0595
0.37,0.0852,0.2216,0.0739,-0.0595
0.375,0.0864,0.2232,0.0751,-0.0595
0.38,0.0877,0.225,0.0764,-0.0595
0.385,0.0889,0.2268,0.0776,-0.0595
0.39,0.0901,0.2289,0.0788,-0.0595
0.395,0.0914,0.231,0.0801,-0.0595
0.4,0.0926,0.233,0.0813,-0.0595
0.405,0.0939,0.2352,0.0826,-0.0595
0.41,0.0953,0.2375,0.084,-0.0595
0.415,0.0967,0.2399,0.0854,-0.0595
0.42,0.0981,0.2424,0.0868,-0.0595
0.425,0.0996,0.2447,0.0883,-0.0595
0.43,0.1011,0.2468,0.0898,-0.0595
0.435,0.1026,0.2488,0.0913,-0.0595
0.44,0.104,0.2506,0.0927,-0.0595
0.445,0.1055,0.2526,0.0942,-0.0595
0.45,0.1068,0.2548,0.0955,-0.0595
0.455,0.1081,0.2569,0.0968,-0.0595
0.46,0.1093,0.2588,0.098,-0.0595
0.465,0.1105,0.2605,0.0992,-0.0595
0.47,0.1117,0.2621,0.1004,-0.0595
0.475,0.1128,0.2639,0.1015,-0.0595
0.48,0.114,0.2662,0.1028,-0.0595
