sync,time,vout
1.0,0.05497228,1.054
1.0,0.0580865,1.056
1.0,0.0612752,1.056
1.0,0.06451104,1.058
1.0,0.06702544,1.06
1.0,0.07012007,1.064
1.0,0.07322943,1.064
1.0,0.07633491,1.068
1.0,0.07944506,1.07
1.0,0.08256246,1.072
1.0,0.08567389,1.076
1.0,0.08880987,1.076
1.0,0.09190257,1.08
1.0,0.09502791,1.082
1.0,0.0981385,1.086
1.0,0.10123835,1.088
1.0,0.10435806,1.09
1.0,0.10746428,1.094
1.0,0.11060007,1.096
1.0,0.11369839,1.098
1.0,0.11681161,1.1
1.0,0.11992874,1.102
1.0,0.12309181,1.104
1.0,0.12616072,1.106
1.0,0.12926691,1.11
1.0,0.13239937,1.112
1.0,0.13549446,1.114
1.0,0.13861233,1.116
1.0,0.14174018,1.12
1.0,0.14484418,1.122
1.0,0.14795267,1.126
1.0,0.15109337,1.128
1.0,0.15419493,1.136
1.0,0.15730265,1.138
1.0,0.1604155,1.142
1.0,0.16353672,1.146
1.0,0.16664717,1.148
1.0,0.16977065,1.15
1.0,0.17287791,1.152
1.0,0.17604059,1.156
1.0,0.17912396,1.158
1.0,0.18223467,1.16
1.0,0.18534989,1.164
1.0,0.18847661,1.168
1.0,0.19157452,1.17
1.0,0.19468706,1.174
1.0,0.197807,1.176
1.0,0.20091685,1.178
1.0,0.20404591,1.18
1.0,0.20713954,1.182
1.0,0.21024887,1.186
1.0,0.21336435,1.188
1.0,0.21647989,1.19
1.0,0.21960357,1.192
1.0,0.22272854,1.194
1.0,0.2258412,1.194
1.0,0.22895848,1.196
1.0,0.23210672,1.198
1.0,0.23518343,1.2
1.0,0.23832146,1.202
1.0,0.24140824,1.204
1.0,0.24451296,1.206
1.0,0.24762865,1.206
1.0,0.25074317,1.208
1.0,0.25386041,1.21
1.0,0.25698539,1.212
1.0,0.26011672,1.212
1.0,0.26320765,1.214
1.0,0.26632483,1.216
1.0,0.26944122,1.218
1.0,0.27255283,1.22
1.0,0.27566376,1.222
1.0,0.2787765,1.222
1.0,0.28191281,1.224
1.0,0.28506115,1.226
1.0,0.28812139,1.226
1.0,0.29123967,1.228
1.0,0.29436704,1.23
1.0,0.297473,1.232
1.0,0.30058807,1.232
1.0,0.30371531,1.234
1.0,0.30682813,1.236
1.0,0.30994548,1.238
1.0,0.31306485,1.24
1.0,0.316185,1.242
1.0,0.31929498,1.244
1.0,0.32240133,1.244
1.0,0.32551505,1.248
1.0,0.32863852,1.248
1.0,0.33175713,1.25
1.0,0.33487215,1.252
1.0,0.33798883,1.252
1.0,0.3411303,1.256
1.0,0.34422391,1.26
1.0,0.34733604,1.26
1.0,0.35044511,1.262
1.0,0.35356533,1.264
1.0,0.35667557,1.266
1.0,0.35978967,1.268
1.0,0.36290574,1.27
1.0,0.36607048,1.272
1.0,0.369147,1.274
1.0,0.3722623,1.276
1.0,0.37537698,1.276
1.0,0.37848681,1.278
1.0,0.38161993,1.28
1.0,0.38472018,1.282
1.0,0.38784611,1.282
1.0,0.390949,1.284
1.0,0.39407339,1.284
1.0,0.39718341,1.288
1.0,0.40028487,1.288
1.0,0.40340313,1.288
1.0,0.40651885,1.292
1.0,0.40965074,1.292
1.0,0.41275869,1.294
1.0,0.41586839,1.298
1.0,0.41898311,1.298
1.0,0.42213985,1.3
1.0,0.42520546,1.302
1.0,0.42832713,1.304
1.0,0.43144167,1.306
1.0,0.43454118,1.308
1.0,0.43766259,1.308
1.0,0.44078083,1.312
1.0,0.44389961,1.314
1.0,0.44701415,1.316
1.0,0.45014363,1.318
1.0,0.45326585,1.32
1.0,0.45635909,1.32
1.0,0.45947013,1.322
1.0,0.46258589,1.322
1.0,0.46570937,1.324
1.0,0.4688157,1.324
1.0,0.47193022,1.326
1.0,0.47508511,1.326
