sync,time,vout
1.0,0.01021261,0.098
1.0,0.01291846,0.1
1.0,0.01561106,0.1
1.0,0.01825768,0.098
1.0,0.02184132,0.096
1.0,0.02509924,0.1
1.0,0.02758126,0.1
1.0,0.02822756,0.102
1.0,0.028863,0.1
1.0,0.02942155,0.102
1.0,0.03005259,0.1
1.0,0.03061046,0.106
1.0,0.03123835,0.1
1.0,0.03187828,0.1
1.0,0.03243646,0.098
1.0,0.03306439,0.094
1.0,0.03362276,0.1
1.0,0.03425293,0.098
1.0,0.03488598,0.1
1.0,0.03544587,0.102
1.0,0.03610882,0.102
1.0,0.03667698,0.1
1.0,0.03730654,0.094
1.0,0.03794476,0.098
1.0,0.0385032,0.1
1.0,0.03913228,0.098
1.0,0.03969052,0.098
1.0,0.04031861,0.1
1.0,0.04087659,0.102
1.0,0.04150619,0.1
1.0,0.04213959,0.104
1.0,0.04269754,0.102
1.0,0.04332757,0.1
1.0,0.04388532,0.104
1.0,0.04451378,0.1
1.0,0.04514904,0.098
1.0,0.04570711,0.1
1.0,0.0463583,0.098
1.0,0.04692606,0.1
1.0,0.04760461,0.098
1.0,0.04823981,0.1
1.0,0.04879867,0.096
1.0,0.04942868,0.1
1.0,0.04998759,0.098
1.0,0.0506175,0.1
1.0,0.05125594,0.1
1.0,0.05181363,0.102
1.0,0.05256607,0.098
1.0,0.0531267,0.1
1.0,0.05374669,0.1
1.0,0.05406111,0.1
1.0,0.05437069,0.098
1.0,0.05463146,0.1
1.0,0.054889,0.1
1.0,0.05514682,0.106
1.0,0.05545339,0.1
1.0,0.05571461,0.1
1.0,0.05597237,0.104
1.0,0.05630952,0.1
1.0,0.05657493,0.106
1.0,0.05683291,0.096
1.0,0.05725937,0.1
1.0,0.0575218,0.102
1.0,0.05778705,0.1
1.0,0.05805413,0.102
1.0,0.06050391,0.1
1.0,0.06360878,0.098
1.0,0.06671794,0.1
1.0,0.06983404,0.098
1.0,0.07294883,0.102
1.0,0.07606605,0.1
1.0,0.07920744,0.098
1.0,0.0823228,0.1
1.0,0.08538126,0.102
1.0,0.08851054,0.108
1.0,0.09161302,0.102
1.0,0.09472778,0.1
1.0,0.09783698,0.104
1.0,0.10099882,0.102
1.0,0.10410506,0.104
1.0,0.10722698,0.102
1.0,0.11027961,0.1
1.0,0.11345331,0.102
1.0,0.11651341,0.106
1.0,0.11962096,0.1
1.0,0.12273578,0.094
1.0,0.12588704,0.1
1.0,0.12900287,0.102
1.0,0.13210559,0.102
1.0,0.13518883,0.102
1.0,0.13828283,0.108
1.0,0.1414552,0.1
1.0,0.14452174,0.1
1.0,0.14763602,0.098
1.0,0.15079394,0.102
1.0,0.15390656,0.104
1.0,0.15698328,0.096
1.0,0.16008648,0.1
1.0,0.16319211,0.096
1.0,0.16629533,0.1
1.0,0.16946128,0.1
1.0,0.17251741,0.104
1.0,0.17568546,0.1
1.0,0.17879693,0.102
1.0,0.18185493,0.1
1.0,0.18496383,0.098
1.0,0.18807056,0.098
1.0,0.19118456,0.1
1.0,0.19429,0.098
1.0,0.19744126,0.092
1.0,0.20056426,0.1
1.0,0.20367735,0.1
1.0,0.20673418,0.098
1.0,0.20985811,0.1
1.0,0.21296767,0.1
1.0,0.21612128,0.104
1.0,0.21920076,0.1
1.0,0.22234774,0.094
1.0,0.22551356,0.1
1.0,0.22854422,0.096
1.0,0.23165056,0.102
1.0,0.23475904,0.1
1.0,0.23787543,0.094
1.0,0.24098452,0.11
1.0,0.244095,0.098
1.0,0.24725002,0.104
1.0,0.25035739,0.1
1.0,0.25347306,0.104
1.0,0.25654776,0.102
1.0,0.25965352,0.1
1.0,0.26276569,0.1
1.0,0.26587274,0.1
1.0,0.26902541,0.1
1.0,0.27212954,0.102
1.0,0.27525187,0.1
1.0,0.27830407,0.102
1.0,0.28147881,0.108
1.0,0.2845417,0.102
1.0,0.28766255,0.106
1.0,0.29076733,0.104
1.0,0.29392104,0.1
