Time,Displacement,Force,Compressive displacement,voltage_1
(s),(mm),(N),(mm),(V)
"0.0000","0.2006","0.0941","0.0000","-0.0593"
"0.0050","0.2006","0.0939","0.0000","-0.0593"
"0.0100","0.2006","0.0937","0.0000","-0.0593"
"0.0150","0.2005","0.0934","0.0000","-0.0593"
"0.0200","0.2005","0.0933","0.0000","-0.0593"
"0.0250","0.2005","0.0933","0.0000","-0.0593"
"0.0300","0.2005","0.0933","0.0000","-0.0594"
"0.0350","0.2005","0.0934","0.0000","-0.0593"
"0.0400","0.2006","0.0934","0.0000","-0.0593"
"0.0450","0.2006","0.0932","0.0000","-0.0594"
"0.0500","0.2006","0.0931","0.0001","-0.0593"
"0.0550","0.2007","0.0929","0.0001","-0.0593"
"0.0600","0.2008","0.0928","0.0002","-0.0594"
"0.0650","0.2010","0.0929","0.0004","-0.0594"
"0.0700","0.2013","0.0932","0.0007","-0.0593"
"0.0750","0.2017","0.0939","0.0011","-0.0593"
"0.0800","0.2022","0.0951","0.0017","-0.0594"
"0.0850","0.2030","0.0964","0.0024","-0.0593"
"0.0900","0.2040","0.0981","0.0034","-0.0593"
"0.0950","0.2051","0.1000","0.0045","-0.0594"
"0.1000","0.2063","0.1022","0.0057","-0.0593"
"0.1050","0.2076","0.1047","0.0071","-0.0593"
"0.1100","0.2089","0.1078","0.0084","-0.0594"
"0.1150","0.2102","0.1111","0.0096","-0.0594"
"0.1200","0.2114","0.1148","0.0108","-0.0593"
"0.1250","0.2125","0.1186","0.0120","-0.0593"
"0.1300","0.2138","0.1223","0.0132","-0.0594"
"0.1350","0.2151","0.1262","0.0145","-0.0593"
"0.1400","0.2164","0.1305","0.0158","-0.0593"
"0.1450","0.2177","0.1348","0.0171","-0.0594"
"0.1500","0.2189","0.1392","0.0184","-0.0593"
"0.1550","0.2201","0.1437","0.0196","-0.0593"
"0.1600","0.2213","0.1479","0.0208","-0.0593"
"0.1650","0.2225","0.1519","0.0220","-0.0594"
"0.1700","0.2237","0.1558","0.0232","-0.0593"
"0.1750","0.2249","0.1596","0.0244","-0.0593"
"0.1800","0.2262","0.1636","0.0256","-0.0594"
"0.1850","0.2275","0.1677","0.0269","-0.0593"
"0.1900","0.2288","0.1717","0.0283","-0.0593"
"0.1950","0.2302","0.1758","0.0297","-0.0594"
"0.2000","0.2316","0.1798","0.0311","-0.0593"
"0.2050","0.2331","0.1837","0.0325","-0.0593"
"0.2100","0.2345","0.1876","0.0339","-0.0594"
"0.2150","0.2359","0.1917","0.0353","-0.0594"
"0.2200","0.2373","0.1959","0.0367","-0.0593"
"0.2250","0.2386","0.2001","0.0380","-0.0593"
"0.2300","0.2398","0.2043","0.0392","-0.0594"
"0.2350","0.2410","0.2084","0.0404","-0.0593"
"0.2400","0.2421","0.2124","0.0415","-0.0593"
"0.2450","0.2432","0.2162","0.0427","-0.0594"
"0.2500","0.2444","0.2197","0.0439","-0.0594"
"0.2550","0.2456","0.2233","0.0451","-0.0593"
"0.2600","0.2469","0.2270","0.0464","-0.0594"
"0.2650","0.2483","0.2309","0.0477","-0.0594"
"0.2700","0.2497","0.2350","0.0491","-0.0593"
"0.2750","0.2511","0.2391","0.0505","-0.0594"
"0.2800","0.2525","0.2431","0.0520","-0.0594"
"0.2850","0.2539","0.2471","0.0534","-0.0593"
"0.2900","0.2552","0.2508","0.0547","-0.0593"
"0.2950","0.2564","0.2544","0.0559","-0.0594"
"0.3000","0.2575","0.2580","0.0570","-0.0594"
"0.3050","0.2586","0.2618","0.0580","-0.0593"
"0.3100","0.2596","0.2654","0.0591","-0.0594"
"0.3150","0.2606","0.2690","0.0601","-0.0594"
"0.3200","0.2616","0.2725","0.0611","-0.0593"
"0.3250","0.2627","0.2757","0.0621","-0.0593"
"0.3300","0.2637","0.2788","0.0632","-0.0594"
"0.3350","0.2649","0.2820","0.0643","-0.0593"
"0.3400","0.2660","0.2852","0.0655","-0.0593"
"0.3450","0.2672","0.2884","0.0667","-0.0594"
"0.3500","0.2684","0.2916","0.0679","-0.0594"
"0.3550","0.2697","0.2947","0.0691","-0.0593"
"0.3600","0.2709","0.2979","0.0704","-0.0594"
"0.3650","0.2721","0.3013","0.0716","-0.0594"
"0.3700","0.2733","0.3048","0.0728","-0.0593"
"0.3750","0.2745","0.3084","0.0739","-0.0593"
"0.3800","0.2757","0.3123","0.0752","-0.0594"
"0.3850","0.2770","0.3160","0.0764","-0.0593"
"0.3900","0.2782","0.3197","0.0777","-0.0593"
"0.3950","0.2795","0.3234","0.0790","-0.0594"
"0.4000","0.2809","0.3270","0.0803","-0.0594"
"0.4050","0.2823","0.3307","0.0817","-0.0593"
"0.4100","0.2837","0.3346","0.0831","-0.0594"
"0.4150","0.2851","0.3385","0.0845","-0.0594"
"0.4200","0.2865","0.3426","0.0859","-0.0593"
"0.4250","0.2879","0.3467","0.0873","-0.0594"
"0.4300","0.2893","0.3508","0.0887","-0.0594"
"0.4350","0.2905","0.3549","0.0900","-0.0593"
"0.4400","0.2917","0.3590","0.0912","-0.0593"
"0.4450","0.2929","0.3628","0.0924","-0.0594"
"0.4500","0.2941","0.3665","0.0935","-0.0594"
"0.4550","0.2953","0.3701","0.0947","-0.0593"
"0.4600","0.2965","0.3736","0.0959","-0.0594"
"0.4650","0.2977","0.3774","0.0971","-0.0594"
"0.4700","0.2989","0.3812","0.0984","-0.0593"
"0.4750","0.3003","0.3850","0.0997","-0.0593"
"0.4800","0.3017","0.3888","0.1011","-0.0594"
"0.4850","0.3031","0.3927","0.1025","-0.0593"
"0.4900","0.3044","0.3963","0.1039","-0.0593"
"0.4950","0.3058","0.4001","0.1052","-0.0594"
"0.5000","0.3071","0.4039","0.1065","-0.0594"
"0.5050","0.3083","0.4075","0.1077","-0.0593"
"0.5100","0.3094","0.4112","0.1089","-0.0594"
"0.5150","0.3105","0.4148","0.1099","-0.0594"
"0.5200","0.3115","0.4180","0.1109","-0.0593"
"0.5250","0.3125","0.4212","0.1119","-0.0593"
"0.5300","0.3134","0.4242","0.1129","-0.0594"
"0.5350","0.3144","0.4272","0.1138","-0.0593"
"0.5400","0.3154","0.4302","0.1148","-0.0593"
"0.5450","0.3165","0.4332","0.1159","-0.0594"
"0.5500","0.3176","0.4359","0.1170","-0.0594"
"0.5550","0.3188","0.4386","0.1182","-0.0593"
"0.5600","0.3201","0.4416","0.1195","-0.0594"
"0.5650","0.3214","0.4447","0.1208","-0.0594"
"0.5700","0.3226","0.4478","0.1221","-0.0593"
"0.5750","0.3239","0.4511","0.1233","-0.0593"
"0.5800","0.3251","0.4544","0.1246","-0.0594"
"0.5850","0.3264","0.4578","0.1258","-0.0593"
"0.5900","0.3276","0.4613","0.1271","-0.0593"
"0.5950","0.3289","0.4647","0.1284","-0.0594"
"0.6000","0.3302","0.4683","0.1297","-0.0594"
"0.6050","0.3316","0.4722","0.1311","-0.0593"
"0.6100","0.3330","0.4761","0.1325","-0.0594"
"0.6150","0.3345","0.4801","0.1339","-0.0594"
"0.6200","0.3360","0.4842","0.1354","-0.0593"
"0.6250","0.3374","0.4882","0.1369","-0.0594"
"0.6300","0.3389","0.4923","0.1383","-0.0594"
"0.6350","0.3403","0.4965","0.1398","-0.0593"
"0.6400","0.3417","0.5008","0.1412","-0.0593"
"0.6450","0.3431","0.5052","0.1425","-0.0594"
"0.6500","0.3443","0.5094","0.1438","-0.0594"
"0.6550","0.3456","0.5133","0.1450","-0.0593"
"0.6600","0.3468","0.5172","0.1462","-0.0594"
"0.6650","0.3480","0.5210","0.1474","-0.0594"
"0.6700","0.3492","0.5246","0.1487","-0.0593"
"0.6750","0.3505","0.5283","0.1499","-0.0593"
"0.6800","0.3518","0.5323","0.1512","-0.0594"
"0.6850","0.3532","0.5363","0.1526","-0.0593"
"0.6900","0.3546","0.5403","0.1540","-0.0593"
"0.6950","0.3561","0.5441","0.1555","-0.0594"
"0.7000","0.3575","0.5477","0.1570","-0.0594"
"0.7050","0.3589","0.5515","0.1584","-0.0593"
"0.7100","0.3603","0.5555","0.1597","-0.0594"
"0.7150","0.3615","0.5595","0.1609","-0.0594"
"0.7200","0.3627","0.5635","0.1621","-0.0593"
"0.7250","0.3637","0.5673","0.1632","-0.0594"
"0.7300","0.3648","0.5707","0.1642","-0.0594"
"0.7350","0.3658","0.5740","0.1652","-0.0593"
"0.7400","0.3669","0.5771","0.1663","-0.0593"
"0.7450","0.3680","0.5801","0.1674","-0.0594"
"0.7500","0.3691","0.5832","0.1686","-0.0594"
"0.7550","0.3703","0.5863","0.1698","-0.0593"
"0.7600","0.3716","0.5894","0.1710","-0.0594"
"0.7650","0.3728","0.5927","0.1723","-0.0594"
"0.7700","0.3741","0.5960","0.1735","-0.0593"
"0.7750","0.3754","0.5992","0.1748","-0.0594"
"0.7800","0.3766","0.6025","0.1760","-0.0594"
"0.7850","0.3778","0.6057","0.1772","-0.0593"
"0.7900","0.3790","0.6088","0.1784","-0.0593"
"0.7950","0.3802","0.6120","0.1797","-0.0594"
"0.8000","0.3815","0.6154","0.1809","-0.0594"
"0.8050","0.3828","0.6188","0.1823","-0.0593"
"0.8100","0.3842","0.6227","0.1836","-0.0594"
"0.8150","0.3856","0.6267","0.1850","-0.0594"
"0.8200","0.3869","0.6305","0.1864","-0.0593"
"0.8250","0.3883","0.6342","0.1878","-0.0594"
"0.8300","0.3897","0.6379","0.1892","-0.0594"
"0.8350","0.3911","0.6415","0.1905","-0.0593"
"0.8400","0.3924","0.6454","0.1919","-0.0593"
"0.8450","0.3937","0.6494","0.1932","-0.0594"
