sync,time,vout
1.0,0.05334617,0.2
1.0,0.05643204,0.202
1.0,0.05991243,0.2
1.0,0.06262491,0.202
1.0,0.06538598,0.204
1.0,0.0684488,0.204
1.0,0.07181165,0.208
1.0,0.07463367,0.206
1.0,0.07772811,0.206
1.0,0.08082748,0.208
1.0,0.083924,0.21
1.0,0.08708581,0.212
1.0,0.09020872,0.212
1.0,0.09326765,0.212
1.0,0.09632948,0.214
1.0,0.09943628,0.212
1.0,0.1025375,0.212
1.0,0.10562648,0.214
1.0,0.10873272,0.21
1.0,0.11194174,0.214
1.0,0.1149747,0.212
1.0,0.11808948,0.212
1.0,0.12116641,0.212
1.0,0.12425141,0.214
1.0,0.12735037,0.218
1.0,0.13044576,0.216
1.0,0.13354626,0.216
1.0,0.13665133,0.216
1.0,0.13979535,0.218
1.0,0.14290019,0.218
1.0,0.145953,0.218
1.0,0.14904891,0.218
1.0,0.1521722,0.218
1.0,0.15525711,0.218
1.0,0.15835643,0.22
1.0,0.16144598,0.22
1.0,0.16459757,0.22
1.0,0.16769233,0.22
1.0,0.17078231,0.22
1.0,0.17384257,0.22
1.0,0.17694854,0.222
1.0,0.18004948,0.224
1.0,0.18317691,0.224
1.0,0.18625481,0.222
1.0,0.18936206,0.222
1.0,0.19251319,0.22
1.0,0.19561426,0.224
1.0,0.19866167,0.224
1.0,0.20177141,0.224
1.0,0.2048615,0.224
1.0,0.20796207,0.224
1.0,0.21105765,0.226
1.0,0.21418028,0.228
1.0,0.21731226,0.228
1.0,0.220405,0.23
1.0,0.22346761,0.226
1.0,0.22655915,0.228
1.0,0.22966487,0.226
1.0,0.23277048,0.228
1.0,0.23586776,0.228
1.0,0.23896674,0.23
1.0,0.24211746,0.232
1.0,0.24523089,0.228
1.0,0.24830189,0.23
1.0,0.25136805,0.23
1.0,0.25445568,0.23
1.0,0.25756428,0.234
1.0,0.26066991,0.234
1.0,0.26375676,0.234
1.0,0.26686924,0.236
1.0,0.27001476,0.236
1.0,0.27310961,0.236
1.0,0.27619065,0.232
1.0,0.27926487,0.238
1.0,0.28237374,0.236
1.0,0.28547889,0.236
1.0,0.28857896,0.236
1.0,0.29170452,0.238
1.0,0.29483605,0.238
1.0,0.29793633,0.238
1.0,0.30100131,0.238
1.0,0.30408244,0.236
1.0,0.30719539,0.238
1.0,0.31028994,0.24
1.0,0.31338898,0.238
1.0,0.3164877,0.24
1.0,0.31958389,0.242
1.0,0.3227263,0.238
1.0,0.325822,0.24
1.0,0.32888398,0.24
1.0,0.33197107,0.24
1.0,0.33507702,0.242
1.0,0.33855185,0.242
1.0,0.34128589,0.244
1.0,0.34438322,0.244
1.0,0.347535,0.246
1.0,0.35063261,0.248
1.0,0.35371331,0.248
1.0,0.35678981,0.25
1.0,0.35989485,0.248
1.0,0.36299057,0.25
1.0,0.36608004,0.25
1.0,0.36920468,0.25
1.0,0.37232802,0.25
1.0,0.37543278,0.246
1.0,0.37852037,0.25
1.0,0.38157772,0.248
1.0,0.38468855,0.248
1.0,0.38777341,0.252
1.0,0.39086889,0.25
1.0,0.39397085,0.252
1.0,0.39706544,0.252
1.0,0.40025628,0.252
1.0,0.40331869,0.252
1.0,0.40637248,0.254
1.0,0.40947089,0.254
1.0,0.41256748,0.256
1.0,0.4156622,0.258
1.0,0.4187673,0.258
1.0,0.42188246,0.258
1.0,0.42502431,0.258
1.0,0.42812426,0.26
1.0,0.4312138,0.258
1.0,0.43427281,0.26
1.0,0.43738504,0.258
1.0,0.44048283,0.26
1.0,0.44359189,0.258
1.0,0.44670163,0.26
1.0,0.44983089,0.262
1.0,0.45292928,0.262
1.0,0.45602659,0.262
1.0,0.45907559,0.262
1.0,0.46221976,0.262
1.0,0.46528352,0.262
1.0,0.46838261,0.262
1.0,0.47150035,0.264
1.0,0.47461402,0.264
1.0,0.47776446,0.268
1.0,0.48085559,0.266
1.0,0.483911,0.266
1.0,0.48700417,0.266
1.0,0.49010996,0.266
1.0,0.49322376,0.266
1.0,0.4962977,0.27
1.0,0.49940172,0.272
1.0,0.50254904,0.272
1.0,0.50564757,0.278
1.0,0.50875435,0.276
1.0,0.51184544,0.278
1.0,0.51491046,0.278
1.0,0.51800837,0.278
1.0,0.52110415,0.28
1.0,0.5242343,0.278
1.0,0.52731233,0.278
1.0,0.53045863,0.28
1.0,0.53355628,0.28
1.0,0.5366275,0.282
1.0,0.53973083,0.28
1.0,0.54281746,0.282
1.0,0.54591468,0.282
1.0,0.54902104,0.282
1.0,0.55211893,0.278
1.0,0.55527819,0.284
1.0,0.55837293,0.282
1.0,0.56147026,0.284
1.0,0.5645245,0.282
1.0,0.56763017,0.282
1.0,0.57073606,0.28
1.0,0.57384163,0.284
1.0,0.57693591,0.284
1.0,0.5800263,0.286
1.0,0.58316787,0.288
1.0,0.58628313,0.28
1.0,0.58933015,0.288
1.0,0.5924248,0.286
1.0,0.59552528,0.288
1.0,0.59862406,0.288
1.0,0.60176426,0.292
1.0,0.6048252,0.29
1.0,0.60797794,0.292
1.0,0.61109617,0.294
1.0,0.61414693,0.292
1.0,0.61730211,0.294
1.0,0.62034989,0.292
1.0,0.62345346,0.294
1.0,0.62654983,0.296
