,Name,Sync,F1X1,F1X3,F1Y1,F1Y2,F1Z1,F1Z2,F1Z3,F1Z4,F2X1,F2X3,F2Y1,F2Y2,F2Z1,F2Z2,F2Z3,F2Z4
705,1.175,10442.0,-17.0,-28.0,-72.0,-64.0,-45.0,-40.0,-43.0,-47.0,-72.0,-41.0,-65.0,-47.0,-60.0,-47.0,-50.0,-58.0
706,1.176667,10348.0,-2.0,-9.0,-54.0,-46.0,-26.0,-24.0,-21.0,-26.0,-43.0,-12.0,-40.0,-18.0,-31.0,-16.0,-22.0,-20.0
707,1.178333,10430.0,9.0,0.0,-38.0,-32.0,-14.0,-10.0,-10.0,-18.0,-30.0,0.0,-22.0,-4.0,-21.0,-3.0,-7.0,-13.0
708,1.18,10432.0,10.0,0.0,-38.0,-31.0,-10.0,-8.0,-7.0,-17.0,-27.0,5.0,-21.0,-2.0,-14.0,-7.0,-8.0,-4.0
709,1.181667,10437.0,12.0,3.0,-37.0,-32.0,-10.0,-6.0,-10.0,-14.0,-30.0,0.0,-18.0,-2.0,-15.0,-1.0,-8.0,-13.0
710,1.183333,10434.0,-18.0,-31.0,-69.0,-68.0,-45.0,-43.0,-42.0,-49.0,-70.0,-41.0,-70.0,-46.0,-59.0,-48.0,-51.0,-50.0
711,1.185,10430.0,-4.0,-14.0,-56.0,-48.0,-26.0,-27.0,-23.0,-26.0,-45.0,-14.0,-34.0,-20.0,-31.0,-18.0,-24.0,-23.0
712,1.186667,10413.0,6.0,-3.0,-38.0,-34.0,-15.0,-9.0,-13.0,-17.0,-30.0,0.0,-23.0,-4.0,-18.0,-9.0,-8.0,-10.0
713,1.188333,10419.0,12.0,-2.0,-40.0,-31.0,-10.0,-8.0,-8.0,-15.0,-33.0,0.0,-20.0,-4.0,-14.0,-2.0,-12.0,-6.0
714,1.19,10432.0,13.0,0.0,-35.0,-34.0,-13.0,-5.0,-12.0,-16.0,-27.0,-1.0,-23.0,-3.0,-16.0,-2.0,-8.0,-8.0
715,1.191667,10440.0,-20.0,-32.0,-70.0,-62.0,-45.0,-44.0,-40.0,-48.0,-70.0,-40.0,-63.0,-54.0,-60.0,-50.0,-53.0,-53.0
716,1.193333,10426.0,-5.0,-15.0,-55.0,-47.0,-26.0,-21.0,-27.0,-23.0,-45.0,-16.0,-35.0,-18.0,-32.0,-19.0,-22.0,-20.0
717,1.195,10425.0,10.0,-5.0,-37.0,-33.0,-15.0,-8.0,-8.0,-17.0,-33.0,-4.0,-23.0,-6.0,-18.0,-4.0,-16.0,-10.0
718,1.196667,10432.0,10.0,0.0,-36.0,-34.0,-14.0,-9.0,-9.0,-15.0,-28.0,-4.0,-20.0,-2.0,-15.0,-3.0,-6.0,-6.0
719,1.198333,10422.0,11.0,-1.0,-38.0,-31.0,-13.0,-6.0,-10.0,-16.0,-30.0,0.0,-21.0,-7.0,-14.0,-2.0,-10.0,-9.0
720,1.2,10412.0,-20.0,-32.0,-71.0,-64.0,-45.0,-45.0,-44.0,-48.0,-69.0,-43.0,-65.0,-46.0,-64.0,-50.0,-53.0,-53.0
721,1.201667,10439.0,-4.0,-19.0,-54.0,-45.0,-26.0,-24.0,-24.0,-28.0,-45.0,-18.0,-38.0,-18.0,-28.0,-17.0,-27.0,-21.0
722,1.203333,10430.0,7.0,-4.0,-43.0,-33.0,-14.0,-9.0,-9.0,-17.0,-31.0,-6.0,-28.0,-4.0,-17.0,-4.0,-5.0,-20.0
723,1.205,10430.0,12.0,0.0,-37.0,-32.0,-17.0,-9.0,-8.0,-16.0,-28.0,3.0,-26.0,-6.0,-14.0,-3.0,-9.0,-5.0
724,1.206667,10427.0,12.0,0.0,-38.0,-29.0,-8.0,-7.0,-10.0,-15.0,-28.0,-1.0,-21.0,-3.0,-20.0,0.0,-10.0,-8.0
725,1.208333,10425.0,-19.0,-30.0,-70.0,-63.0,-45.0,-42.0,-42.0,-48.0,-72.0,-41.0,-69.0,-47.0,-57.0,-48.0,-53.0,-56.0
726,1.21,10439.0,-3.0,-15.0,-57.0,-47.0,-28.0,-22.0,-23.0,-27.0,-47.0,-19.0,-36.0,-18.0,-29.0,-18.0,-23.0,-28.0
727,1.211667,10445.0,9.0,-5.0,-42.0,-33.0,-16.0,-12.0,-8.0,-16.0,-29.0,0.0,-32.0,-7.0,-17.0,-4.0,-9.0,-8.0
728,1.213333,10426.0,12.0,0.0,-36.0,-32.0,-10.0,-9.0,-10.0,-15.0,-28.0,1.0,-21.0,-5.0,-18.0,-2.0,-7.0,-6.0
729,1.215,10436.0,11.0,0.0,-37.0,-31.0,-13.0,-5.0,-13.0,-17.0,-26.0,-1.0,-21.0,-3.0,-14.0,-5.0,-10.0,-8.0
730,1.216667,10411.0,-18.0,-29.0,-73.0,-64.0,-47.0,-43.0,-45.0,-48.0,-73.0,-40.0,-67.0,-47.0,-60.0,-48.0,-53.0,-55.0
731,1.218333,10437.0,-3.0,-17.0,-54.0,-49.0,-27.0,-23.0,-21.0,-30.0,-44.0,-17.0,-41.0,-19.0,-28.0,-17.0,-23.0,-19.0
732,1.22,10437.0,10.0,-3.0,-40.0,-33.0,-12.0,-12.0,-9.0,-17.0,-30.0,-1.0,-20.0,-9.0,-20.0,-2.0,-10.0,-13.0
733,1.221667,10428.0,11.0,3.0,-36.0,-32.0,-10.0,-6.0,-13.0,-16.0,-28.0,4.0,-21.0,-2.0,-13.0,-6.0,-7.0,-6.0
734,1.223333,10424.0,14.0,0.0,-35.0,-33.0,-10.0,-8.0,-8.0,-15.0,-31.0,0.0,-21.0,-4.0,-15.0,0.0,-14.0,-8.0
735,1.225,10430.0,-17.0,-29.0,-71.0,-69.0,-44.0,-43.0,-43.0,-46.0,-68.0,-44.0,-67.0,-47.0,-57.0,-48.0,-53.0,-49.0
736,1.226667,10447.0,-2.0,-16.0,-53.0,-46.0,-27.0,-23.0,-20.0,-27.0,-44.0,-13.0,-35.0,-24.0,-27.0,-17.0,-24.0,-22.0
737,1.228333,10434.0,8.0,-1.0,-40.0,-33.0,-15.0,-9.0,-15.0,-18.0,-28.0,0.0,-22.0,-2.0,-22.0,-5.0,-12.0,-13.0
738,1.23,10429.0,13.0,-2.0,-36.0,-32.0,-15.0,-7.0,-8.0,-19.0,-28.0,5.0,-22.0,-3.0,-15.0,-3.0,-15.0,-5.0
739,1.231667,10429.0,13.0,0.0,-38.0,-32.0,-13.0,-7.0,-9.0,-14.0,-23.0,-5.0,-22.0,-1.0,-16.0,-1.0,-8.0,-9.0
740,1.233333,10428.0,-17.0,-31.0,-71.0,-62.0,-48.0,-44.0,-46.0,-49.0,-70.0,-37.0,-70.0,-50.0,-61.0,-49.0,-51.0,-51.0
741,1.235,10447.0,-4.0,-16.0,-54.0,-45.0,-26.0,-26.0,-23.0,-26.0,-43.0,-14.0,-36.0,-19.0,-35.0,-18.0,-21.0,-22.0
