sync,time,vout
1.0,0.00695467,1.03
1.0,0.0076977,1.032
1.0,0.00840696,1.032
1.0,0.00913809,1.03
1.0,0.0098675,1.032
1.0,0.01063026,1.032
1.0,0.01136324,1.032
1.0,0.01205159,1.032
1.0,0.01280459,1.032
1.0,0.01354789,1.032
1.0,0.01422502,1.032
1.0,0.01477576,1.032
1.0,0.01532541,1.032
1.0,0.01587481,1.032
1.0,0.01642526,1.03
1.0,0.0169752,1.032
1.0,0.01752469,1.03
1.0,0.01807428,1.032
1.0,0.01862352,1.032
1.0,0.01917326,1.03
1.0,0.01972224,1.03
1.0,0.02027176,1.032
1.0,0.02082035,1.032
1.0,0.02136948,1.032
1.0,0.02191872,1.03
1.0,0.02246943,1.032
1.0,0.02303744,1.032
1.0,0.02359931,1.032
1.0,0.0241492,1.032
1.0,0.02459637,1.032
1.0,0.02502392,1.03
1.0,0.0254508,1.032
1.0,0.02587804,1.03
1.0,0.02630507,1.032
1.0,0.02673331,1.03
1.0,0.02716002,1.032
1.0,0.02758693,1.032
1.0,0.028014,1.03
1.0,0.02844146,1.032
1.0,0.02886983,1.032
1.0,0.02929705,1.032
1.0,0.0297238,1.032
1.0,0.03015065,1.032
1.0,0.030619,1.032
1.0,0.03105054,1.032
1.0,0.03147944,1.032
1.0,0.03190891,1.032
1.0,0.03233739,1.032
1.0,0.03277878,1.03
1.0,0.03321661,1.032
1.0,0.03364491,1.032
1.0,0.03407476,1.032
1.0,0.03450557,1.03
1.0,0.03493359,1.032
1.0,0.03536202,1.032
1.0,0.03579043,1.032
1.0,0.03621981,1.032
1.0,0.03664789,1.03
1.0,0.03707613,1.032
1.0,0.03750494,1.03
1.0,0.03793493,1.032
1.0,0.03836315,1.032
1.0,0.03879128,1.032
1.0,0.03922135,1.03
1.0,0.03965044,1.03
1.0,0.04016133,1.032
1.0,0.04059228,1.03
1.0,0.04103274,1.032
1.0,0.04147815,1.032
1.0,0.04349487,1.162
1.0,0.04649431,1.162
1.0,0.04949456,1.162
1.0,0.05249392,1.164
1.0,0.05550113,1.164
1.0,0.05849472,1.164
1.0,0.06149454,1.164
1.0,0.06449361,1.162
1.0,0.06749404,1.164
1.0,0.07055241,1.166
1.0,0.07355341,1.166
1.0,0.0765523,1.166
1.0,0.07955389,1.166
1.0,0.08255839,1.166
1.0,0.08559639,1.166
1.0,0.08856024,1.166
1.0,0.09156035,1.166
1.0,0.09457231,1.166
1.0,0.09757143,1.166
1.0,0.10057426,1.166
1.0,0.10358169,1.168
1.0,0.10658537,1.168
1.0,0.10958561,1.168
1.0,0.11258439,1.17
1.0,0.11558591,1.17
1.0,0.11859522,1.17
1.0,0.12159687,1.17
1.0,0.12450669,1.172
1.0,0.12742146,1.172
1.0,0.13042196,1.172
1.0,0.13342328,1.172
1.0,0.13642339,1.174
1.0,0.13942304,1.174
1.0,0.14242467,1.176
1.0,0.1454447,1.176
1.0,0.14844398,1.176
1.0,0.1514475,1.182
1.0,0.15444637,1.182
1.0,0.1621682,1.182
1.0,0.16253274,1.182
1.0,0.16352769,1.182
1.0,0.16964868,1.184
1.0,0.16995107,1.184
1.0,0.17278791,1.184
1.0,0.17556943,1.184
1.0,0.17852261,1.184
1.0,0.18152274,1.184
1.0,0.1845193,1.186
1.0,0.18752565,1.186
1.0,0.19047263,1.186
1.0,0.19345178,1.186
1.0,0.19644754,1.186
1.0,0.19945041,1.186
1.0,0.20244802,1.186
1.0,0.20549426,1.188
1.0,0.20849407,1.188
