Time,Displacement,Force,Compressive displacement,voltage_1
0.0,0.083,0.1161,0.0,0.0002
0.005,0.083,0.1165,0.0,0.0001
0.01,0.083,0.1168,0.0,0.0002
0.015,0.083,0.1169,0.0,0.0002
0.02,0.083,0.1173,0.0,0.0002
0.025,0.083,0.1177,0.0,0.0001
0.03,0.083,0.1181,0.0,0.0002
0.035,0.083,0.1185,0.0,0.0002
0.04,0.083,0.1188,0.0,0.0001
0.045,0.083,0.1189,0.0,0.0002
0.05,0.0831,0.1188,0.0001,0.0002
0.055,0.0832,0.1186,0.0002,0.0001
0.06,0.0834,0.1186,0.0004,0.0002
0.065,0.0838,0.119,0.0008,0.0002
0.07,0.0843,0.1199,0.0013,0.0002
0.075,0.085,0.1212,0.002,0.0001
0.08,0.086,0.123,0.003,0.0002
0.085,0.0871,0.1253,0.0042,0.0002
0.09,0.0886,0.1282,0.0056,0.0001
0.095,0.0902,0.1317,0.0072,0.0002
0.1,0.0919,0.1359,0.0089,0.0002
0.105,0.0937,0.1405,0.0107,0.0002
0.11,0.0953,0.1457,0.0123,0.0002
0.115,0.0967,0.151,0.0138,0.0002
0.12,0.0981,0.1563,0.0152,0.0002
0.125,0.0995,0.1619,0.0166,0.0001
0.13,0.101,0.1677,0.018,0.0002
0.135,0.1024,0.1739,0.0195,0.0002
0.14,0.104,0.1804,0.021,0.0001
0.145,0.1057,0.1871,0.0227,0.0002
0.15,0.1074,0.1938,0.0244,0.0002
0.155,0.1091,0.2006,0.0262,0.0001
0.16,0.1109,0.2073,0.0279,0.0002
0.165,0.1126,0.2138,0.0296,0.0002
0.17,0.1142,0.2205,0.0312,0.0002
0.175,0.1156,0.2271,0.0326,0.0001
0.18,0.1169,0.2336,0.0339,0.0002
0.185,0.1182,0.2401,0.0352,0.0002
0.19,0.1195,0.2464,0.0366,0.0001
0.195,0.1209,0.2523,0.0379,0.0002
0.2,0.1222,0.2581,0.0393,0.0002
0.205,0.1237,0.264,0.0407,0.0001
0.21,0.1252,0.27,0.0422,0.0001
0.215,0.1267,0.2757,0.0437,0.0002
0.22,0.1281,0.2812,0.0451,0.0002
0.225,0.1296,0.2865,0.0466,0.0001
0.23,0.131,0.2917,0.048,0.0002
0.235,0.1324,0.2972,0.0494,0.0002
0.24,0.1338,0.3031,0.0509,0.0001
0.245,0.1353,0.3094,0.0524,0.0002
0.25,0.1369,0.3159,0.0539,0.0002
0.255,0.1385,0.3223,0.0555,0.0002
0.26,0.1401,0.3286,0.0571,0.0002
0.265,0.1417,0.335,0.0587,0.0002
0.27,0.1434,0.3416,0.0604,0.0002
0.275,0.145,0.3482,0.062,0.0001
0.28,0.1466,0.3548,0.0636,0.0002
0.285,0.1481,0.3612,0.0651,0.0002
0.29,0.1495,0.3675,0.0665,0.0001
0.295,0.1509,0.3735,0.0679,0.0002
0.3,0.1522,0.3794,0.0692,0.0002
0.305,0.1536,0.3855,0.0707,0.0001
0.31,0.1551,0.3919,0.0721,0.0002
0.315,0.1566,0.3983,0.0736,0.0002
