Time,Displacement,Force,Compressive displacement,voltage_1
(s),(mm),(N),(mm),(V)
"0.0000","0.0657","0.0976","0.0000","0.0002"
"0.0050","0.0657","0.0975","0.0000","0.0002"
"0.0100","0.0657","0.0974","0.0000","0.0002"
"0.0150","0.0657","0.0975","0.0000","0.0002"
"0.0200","0.0657","0.0975","0.0000","0.0003"
"0.0250","0.0657","0.0974","0.0000","0.0002"
"0.0300","0.0657","0.0973","0.0000","0.0002"
"0.0350","0.0657","0.0973","0.0000","0.0003"
"0.0400","0.0657","0.0975","0.0000","0.0002"
"0.0450","0.0657","0.0977","0.0000","0.0002"
"0.0500","0.0658","0.0978","0.0001","0.0002"
"0.0550","0.0659","0.0977","0.0002","0.0002"
"0.0600","0.0661","0.0977","0.0004","0.0002"
"0.0650","0.0665","0.0979","0.0008","0.0002"
"0.0700","0.0670","0.0986","0.0013","0.0002"
"0.0750","0.0678","0.0998","0.0021","0.0002"
"0.0800","0.0688","0.1020","0.0031","0.0002"
"0.0850","0.0700","0.1049","0.0043","0.0002"
"0.0900","0.0714","0.1085","0.0057","0.0002"
"0.0950","0.0730","0.1130","0.0073","0.0002"
"0.1000","0.0747","0.1185","0.0090","0.0002"
"0.1050","0.0765","0.1246","0.0108","0.0002"
"0.1100","0.0784","0.1317","0.0127","0.0002"
"0.1150","0.0802","0.1397","0.0145","0.0002"
"0.1200","0.0821","0.1484","0.0164","0.0003"
"0.1250","0.0838","0.1573","0.0181","0.0002"
"0.1300","0.0855","0.1663","0.0198","0.0002"
"0.1350","0.0870","0.1755","0.0213","0.0003"
"0.1400","0.0883","0.1847","0.0226","0.0002"
"0.1450","0.0896","0.1938","0.0238","0.0002"
"0.1500","0.0908","0.2026","0.0250","0.0002"
"0.1550","0.0920","0.2109","0.0263","0.0002"
"0.1600","0.0932","0.2189","0.0275","0.0002"
"0.1650","0.0945","0.2266","0.0288","0.0002"
"0.1700","0.0959","0.2340","0.0302","0.0003"
"0.1750","0.0973","0.2411","0.0316","0.0002"
"0.1800","0.0988","0.2481","0.0331","0.0002"
"0.1850","0.1002","0.2549","0.0345","0.0002"
"0.1900","0.1017","0.2616","0.0360","0.0002"
"0.1950","0.1031","0.2684","0.0374","0.0002"
"0.2000","0.1046","0.2754","0.0389","0.0002"
"0.2050","0.1060","0.2827","0.0403","0.0002"
"0.2100","0.1075","0.2898","0.0418","0.0002"
"0.2150","0.1091","0.2971","0.0434","0.0002"
"0.2200","0.1107","0.3044","0.0450","0.0002"
"0.2250","0.1123","0.3115","0.0466","0.0002"
"0.2300","0.1140","0.3187","0.0483","0.0002"
"0.2350","0.1156","0.3261","0.0499","0.0002"
"0.2400","0.1173","0.3336","0.0516","0.0002"
"0.2450","0.1189","0.3415","0.0532","0.0001"
"0.2500","0.1204","0.3495","0.0547","0.0002"
"0.2550","0.1219","0.3575","0.0562","0.0002"
"0.2600","0.1233","0.3653","0.0576","0.0002"
"0.2650","0.1247","0.3731","0.0590","0.0002"
"0.2700","0.1261","0.3807","0.0604","0.0003"
"0.2750","0.1275","0.3881","0.0618","0.0002"
"0.2800","0.1290","0.3955","0.0633","0.0002"
"0.2850","0.1306","0.4028","0.0649","0.0003"
"0.2900","0.1322","0.4101","0.0665","0.0002"
"0.2950","0.1339","0.4173","0.0682","0.0002"
"0.3000","0.1355","0.4246","0.0698","0.0002"
"0.3050","0.1371","0.4320","0.0713","0.0002"
"0.3100","0.1385","0.4392","0.0728","0.0002"
"0.3150","0.1398","0.4465","0.0741","0.0002"
"0.3200","0.1411","0.4539","0.0754","0.0003"
"0.3250","0.1423","0.4613","0.0766","0.0002"
"0.3300","0.1435","0.4683","0.0778","0.0002"
"0.3350","0.1448","0.4750","0.0791","0.0003"
"0.3400","0.1461","0.4814","0.0804","0.0002"
"0.3450","0.1474","0.4878","0.0817","0.0002"
"0.3500","0.1489","0.4941","0.0832","0.0002"
"0.3550","0.1504","0.5004","0.0846","0.0002"
"0.3600","0.1518","0.5069","0.0861","0.0002"
"0.3650","0.1533","0.5136","0.0876","0.0002"
