Time,Displacement,Force,Compressive displacement,voltage_1
(s),(mm),(N),(mm),(V)
"0.0000","1.3014","0.0997","0.0000","0.0024"
"0.0050","1.3014","0.0995","0.0000","0.0024"
"0.0100","1.3014","0.0992","0.0000","0.0024"
"0.0150","1.3014","0.0990","0.0000","0.0024"
"0.0200","1.3014","0.0989","0.0000","0.0024"
"0.0250","1.3014","0.0988","0.0000","0.0024"
"0.0300","1.3014","0.0987","0.0000","0.0024"
"0.0350","1.3014","0.0987","0.0000","0.0024"
"0.0400","1.3014","0.0986","0.0000","0.0024"
"0.0450","1.3015","0.0983","0.0000","0.0024"
"0.0500","1.3015","0.0981","0.0001","0.0024"
"0.0550","1.3016","0.0982","0.0001","0.0024"
"0.0600","1.3017","0.0983","0.0003","0.0024"
"0.0650","1.3019","0.0986","0.0005","0.0024"
"0.0700","1.3022","0.0993","0.0007","0.0024"
"0.0750","1.3027","0.1000","0.0012","0.0024"
"0.0800","1.3033","0.1009","0.0019","0.0024"
"0.0850","1.3042","0.1022","0.0027","0.0024"
"0.0900","1.3053","0.1040","0.0039","0.0024"
"0.0950","1.3066","0.1062","0.0052","0.0024"
"0.1000","1.3080","0.1090","0.0066","0.0024"
"0.1050","1.3096","0.1125","0.0082","0.0024"
"0.1100","1.3111","0.1166","0.0097","0.0024"
"0.1150","1.3126","0.1207","0.0112","0.0024"
"0.1200","1.3141","0.1252","0.0127","0.0024"
"0.1250","1.3156","0.1301","0.0141","0.0024"
"0.1300","1.3170","0.1350","0.0156","0.0024"
"0.1350","1.3185","0.1401","0.0171","0.0024"
"0.1400","1.3201","0.1459","0.0187","0.0024"
"0.1450","1.3217","0.1519","0.0203","0.0024"
"0.1500","1.3233","0.1579","0.0219","0.0024"
"0.1550","1.3249","0.1640","0.0234","0.0024"
"0.1600","1.3264","0.1702","0.0250","0.0024"
"0.1650","1.3279","0.1761","0.0265","0.0024"
"0.1700","1.3295","0.1821","0.0281","0.0024"
"0.1750","1.3312","0.1884","0.0297","0.0024"
"0.1800","1.3328","0.1948","0.0314","0.0024"
"0.1850","1.3346","0.2012","0.0331","0.0024"
"0.1900","1.3363","0.2081","0.0349","0.0024"
"0.1950","1.3381","0.2153","0.0366","0.0024"
"0.2000","1.3397","0.2221","0.0383","0.0024"
"0.2050","1.3413","0.2288","0.0399","0.0024"
"0.2100","1.3428","0.2357","0.0414","0.0024"
"0.2150","1.3443","0.2424","0.0429","0.0024"
"0.2200","1.3457","0.2486","0.0442","0.0024"
"0.2250","1.3470","0.2549","0.0456","0.0024"
"0.2300","1.3484","0.2612","0.0470","0.0024"
"0.2350","1.3498","0.2670","0.0484","0.0024"
"0.2400","1.3513","0.2729","0.0499","0.0024"
"0.2450","1.3529","0.2788","0.0514","0.0024"
"0.2500","1.3544","0.2844","0.0530","0.0024"
"0.2550","1.3560","0.2901","0.0546","0.0024"
"0.2600","1.3576","0.2958","0.0561","0.0024"
"0.2650","1.3591","0.3016","0.0577","0.0024"
"0.2700","1.3605","0.3073","0.0591","0.0024"
"0.2750","1.3618","0.3128","0.0604","0.0024"
"0.2800","1.3631","0.3181","0.0617","0.0024"
"0.2850","1.3643","0.3231","0.0629","0.0024"
"0.2900","1.3655","0.3280","0.0641","0.0024"
"0.2950","1.3668","0.3328","0.0654","0.0024"
"0.3000","1.3681","0.3376","0.0667","0.0024"
"0.3050","1.3695","0.3423","0.0681","0.0024"
"0.3100","1.3710","0.3471","0.0695","0.0024"
"0.3150","1.3725","0.3522","0.0710","0.0024"
"0.3200","1.3739","0.3572","0.0725","0.0024"
"0.3250","1.3754","0.3620","0.0740","0.0024"
"0.3300","1.3768","0.3671","0.0754","0.0024"
"0.3350","1.3783","0.3724","0.0768","0.0024"
"0.3400","1.3797","0.3778","0.0783","0.0024"
"0.3450","1.3812","0.3834","0.0798","0.0024"
"0.3500","1.3828","0.3894","0.0814","0.0024"
"0.3550","1.3844","0.3953","0.0830","0.0024"
"0.3600","1.3861","0.4011","0.0847","0.0024"
"0.3650","1.3878","0.4071","0.0864","0.0024"
"0.3700","1.3896","0.4134","0.0881","0.0024"
"0.3750","1.3913","0.4196","0.0898","0.0024"
"0.3800","1.3930","0.4258","0.0915","0.0024"
"0.3850","1.3946","0.4319","0.0931","0.0024"
"0.3900","1.3961","0.4381","0.0947","0.0024"
"0.3950","1.3976","0.4442","0.0961","0.0024"
"0.4000","1.3990","0.4505","0.0976","0.0024"
