Time,Displacement,Force,Compressive displacement,voltage_1
0.0,0.121,0.0985,0.0,0.0
0.005,0.121,0.0983,0.0,0.0
0.01,0.121,0.098,0.0,0.0001
0.015,0.121,0.0979,0.0,0.0001
0.02,0.121,0.098,0.0,0.0001
0.025,0.121,0.098,0.0,0.0001
0.03,0.121,0.0981,0.0,0.0001
0.035,0.121,0.0983,0.0,0.0001
0.04,0.121,0.0983,0.0,0.0001
0.045,0.1211,0.0983,0.0001,0.0001
0.05,0.1211,0.0982,0.0001,0.0001
0.055,0.1212,0.0983,0.0003,0.0
0.06,0.1215,0.0986,0.0005,0.0
0.065,0.1218,0.099,0.0008,0.0
0.07,0.1223,0.0995,0.0013,0.0
0.075,0.123,0.1,0.002,0.0
0.08,0.1239,0.1007,0.0029,0.0
0.085,0.1251,0.1016,0.0041,0.0
0.09,0.1266,0.1028,0.0056,0.0
0.095,0.1282,0.104,0.0072,0.0
0.1,0.1301,0.1054,0.0091,0.0
0.105,0.132,0.1067,0.011,0.0
0.11,0.1339,0.1079,0.0129,0.0
0.115,0.1357,0.109,0.0147,0.0
0.12,0.1373,0.1102,0.0163,0.0
0.125,0.1388,0.1111,0.0179,0.0
0.13,0.1402,0.112,0.0192,0.0
0.135,0.1416,0.1132,0.0206,0.0
0.14,0.1429,0.1146,0.0219,0.0
0.145,0.1441,0.1164,0.0232,0.0
0.15,0.1455,0.1182,0.0245,0.0
0.155,0.1469,0.1199,0.0259,0.0
0.16,0.1484,0.1215,0.0274,0.0
0.165,0.1498,0.1231,0.0288,0.0
0.17,0.1513,0.1245,0.0303,0.0
0.175,0.1528,0.126,0.0318,0.0
0.18,0.1542,0.1277,0.0332,0.0
0.185,0.1557,0.1295,0.0347,0.0
0.19,0.1572,0.1314,0.0362,0.0
0.195,0.1588,0.1331,0.0378,0.0
0.2,0.1604,0.1346,0.0394,0.0
0.205,0.162,0.1358,0.041,0.0
0.21,0.1636,0.1371,0.0426,0.0
0.215,0.1653,0.1384,0.0443,0.0
0.22,0.1669,0.14,0.046,0.0
0.225,0.1686,0.1416,0.0476,0.0
0.23,0.1702,0.143,0.0492,0.0
0.235,0.1717,0.1443,0.0507,0.0
0.24,0.1732,0.1456,0.0522,0.0
0.245,0.1747,0.1467,0.0537,0.0
0.25,0.1761,0.148,0.0551,0.0
0.255,0.1776,0.1494,0.0566,0.0
0.26,0.1792,0.151,0.0582,0.0
0.265,0.1808,0.1526,0.0598,0.0
0.27,0.1824,0.1542,0.0614,0.0
0.275,0.1841,0.1557,0.0631,0.0
0.28,0.1857,0.1572,0.0648,0.0
0.285,0.1873,0.1587,0.0663,0.0
0.29,0.1888,0.16,0.0678,0.0
0.295,0.1902,0.1611,0.0692,0.0
0.3,0.1914,0.1622,0.0704,0.0
0.305,0.1926,0.1631,0.0716,0.0
0.31,0.1938,0.1642,0.0728,0.0
0.315,0.195,0.1654,0.074,0.0
0.32,0.1962,0.1667,0.0752,0.0
0.325,0.1974,0.1682,0.0764,0.0
0.33,0.1987,0.1696,0.0777,0.0
0.335,0.2,0.1709,0.079,0.0
0.34,0.2014,0.1722,0.0804,0.0
0.345,0.2028,0.1734,0.0818,0.0
0.35,0.2041,0.1745,0.0832,0.0
0.355,0.2055,0.1757,0.0845,0.0
0.36,0.2068,0.1768,0.0858,0.0
0.365,0.2082,0.1779,0.0872,0.0
0.37,0.2096,0.179,0.0886,0.0
0.375,0.2111,0.18,0.0901,0.0
0.38,0.2127,0.181,0.0917,0.0
0.385,0.2143,0.1822,0.0933,0.0
0.39,0.2159,0.1835,0.0949,0.0
0.395,0.2175,0.1851,0.0965,0.0
0.4,0.2192,0.1868,0.0982,0.0
0.405,0.2208,0.1884,0.0998,0.0
0.41,0.2224,0.1898,0.1014,0.0
0.415,0.2239,0.1911,0.1029,0.0
0.42,0.2253,0.1922,0.1043,0.0
0.425,0.2267,0.1934,0.1057,0.0
0.43,0.2281,0.1948,0.1071,0.0
