Time,Displacement,Force,Compressive displacement,voltage_1
(s),(mm),(N),(mm),(V)
"0.0000","0.0833","0.0976","0.0000","0.0000"
"0.0050","0.0833","0.0979","0.0000","0.0000"
"0.0100","0.0833","0.0980","0.0000","0.0000"
"0.0150","0.0833","0.0981","0.0000","0.0000"
"0.0200","0.0833","0.0980","0.0000","0.0000"
"0.0250","0.0833","0.0977","0.0000","0.0000"
"0.0300","0.0833","0.0974","0.0000","0.0000"
"0.0350","0.0833","0.0972","0.0000","0.0000"
"0.0400","0.0833","0.0972","0.0000","0.0000"
"0.0450","0.0833","0.0973","0.0000","0.0000"
"0.0500","0.0834","0.0975","0.0001","0.0000"
"0.0550","0.0835","0.0977","0.0002","0.0000"
"0.0600","0.0837","0.0981","0.0005","0.0000"
"0.0650","0.0841","0.0988","0.0008","0.0000"
"0.0700","0.0846","0.0993","0.0014","0.0000"
"0.0750","0.0854","0.1000","0.0021","0.0000"
"0.0800","0.0863","0.1010","0.0031","0.0000"
"0.0850","0.0875","0.1021","0.0042","0.0000"
"0.0900","0.0888","0.1034","0.0055","0.0000"
"0.0950","0.0902","0.1048","0.0070","0.0000"
"0.1000","0.0918","0.1065","0.0085","0.0000"
"0.1050","0.0933","0.1086","0.0101","0.0000"
"0.1100","0.0950","0.1108","0.0117","0.0000"
"0.1150","0.0966","0.1133","0.0133","0.0000"
"0.1200","0.0983","0.1160","0.0150","0.0000"
"0.1250","0.0998","0.1189","0.0166","0.0000"
"0.1300","0.1014","0.1218","0.0181","0.0000"
"0.1350","0.1028","0.1247","0.0196","0.0000"
"0.1400","0.1043","0.1278","0.0210","0.0000"
"0.1450","0.1058","0.1309","0.0225","0.0000"
"0.1500","0.1073","0.1340","0.0240","0.0000"
"0.1550","0.1089","0.1371","0.0256","0.0000"
"0.1600","0.1105","0.1402","0.0273","0.0000"
"0.1650","0.1122","0.1432","0.0290","0.0000"
"0.1700","0.1139","0.1462","0.0307","0.0000"
"0.1750","0.1156","0.1491","0.0324","0.0000"
"0.1800","0.1173","0.1520","0.0341","0.0000"
"0.1850","0.1190","0.1549","0.0357","0.0000"
"0.1900","0.1206","0.1576","0.0373","0.0000"
"0.1950","0.1221","0.1601","0.0388","0.0000"
"0.2000","0.1235","0.1628","0.0402","0.0000"
"0.2050","0.1249","0.1656","0.0416","0.0000"
"0.2100","0.1263","0.1687","0.0430","0.0000"
"0.2150","0.1277","0.1720","0.0444","0.0000"
"0.2200","0.1292","0.1751","0.0459","0.0000"
"0.2250","0.1307","0.1781","0.0475","0.0000"
"0.2300","0.1323","0.1810","0.0490","0.0000"
"0.2350","0.1339","0.1836","0.0506","0.0000"
"0.2400","0.1355","0.1862","0.0522","0.0000"
"0.2450","0.1370","0.1888","0.0537","0.0000"
"0.2500","0.1384","0.1913","0.0551","0.0000"
"0.2550","0.1397","0.1936","0.0564","0.0000"
"0.2600","0.1409","0.1960","0.0577","0.0000"
"0.2650","0.1422","0.1983","0.0589","0.0000"
"0.2700","0.1434","0.2007","0.0601","0.0000"
"0.2750","0.1446","0.2030","0.0613","0.0000"
"0.2800","0.1457","0.2053","0.0625","0.0000"
"0.2850","0.1470","0.2076","0.0637","0.0000"
"0.2900","0.1483","0.2101","0.0651","0.0000"
"0.2950","0.1497","0.2122","0.0665","0.0000"
"0.3000","0.1512","0.2144","0.0679","0.0000"
"0.3050","0.1527","0.2166","0.0694","0.0000"
"0.3100","0.1541","0.2187","0.0708","0.0000"
"0.3150","0.1555","0.2206","0.0722","0.0000"
"0.3200","0.1569","0.2226","0.0736","0.0000"
"0.3250","0.1584","0.2248","0.0751","0.0000"
"0.3300","0.1599","0.2273","0.0766","0.0000"
"0.3350","0.1614","0.2298","0.0782","0.0000"
"0.3400","0.1630","0.2324","0.0797","0.0000"
"0.3450","0.1646","0.2350","0.0814","0.0000"
"0.3500","0.1663","0.2376","0.0830","0.0000"
"0.3550","0.1679","0.2400","0.0847","0.0000"
"0.3600","0.1696","0.2425","0.0863","-0.0001"
"0.3650","0.1711","0.2452","0.0878","-0.0001"
"0.3700","0.1726","0.2478","0.0893","-0.0001"
"0.3750","0.1740","0.2504","0.0907","-0.0001"
"0.3800","0.1754","0.2529","0.0921","-0.0001"
"0.3850","0.1767","0.2553","0.0935","-0.0001"
"0.3900","0.1781","0.2578","0.0948","-0.0001"
"0.3950","0.1795","0.2602","0.0962","-0.0001"
"0.4000","0.1809","0.2626","0.0976","-0.0001"
"0.4050","0.1824","0.2651","0.0992","-0.0001"
"0.4100","0.1840","0.2675","0.1007","-0.0001"
"0.4150","0.1856","0.2698","0.1023","0.0000"
"0.4200","0.1873","0.2723","0.1040","0.0000"
"0.4250","0.1889","0.2747","0.1056","0.0000"
"0.4300","0.1904","0.2772","0.1071","0.0000"
"0.4350","0.1918","0.2796","0.1086","0.0000"
"0.4400","0.1931","0.2821","0.1099","0.0000"
"0.4450","0.1944","0.2845","0.1111","0.0000"
"0.4500","0.1956","0.2869","0.1124","0.0000"
"0.4550","0.1969","0.2893","0.1137","0.0000"
"0.4600","0.1983","0.2915","0.1150","0.0000"
"0.4650","0.1997","0.2940","0.1164","0.0000"
"0.4700","0.2011","0.2966","0.1179","0.0000"
"0.4750","0.2026","0.2990","0.1194","0.0000"
"0.4800","0.2042","0.3013","0.1209","0.0000"
"0.4850","0.2057","0.3036","0.1224","-0.0001"
"0.4900","0.2072","0.3060","0.1239","-0.0001"
"0.4950","0.2088","0.3087","0.1255","-0.0001"
"0.5000","0.2103","0.3113","0.1270","-0.0001"
"0.5050","0.2119","0.3140","0.1286","-0.0001"
"0.5100","0.2136","0.3168","0.1303","-0.0001"
"0.5150","0.2153","0.3196","0.1320","-0.0001"
"0.5200","0.2170","0.3223","0.1338","-0.0001"
"0.5250","0.2188","0.3252","0.1355","-0.0001"
"0.5300","0.2206","0.3282","0.1373","-0.0001"
"0.5350","0.2223","0.3312","0.1390","-0.0001"
"0.5400","0.2240","0.3342","0.1407","-0.0001"
"0.5450","0.2256","0.3371","0.1423","-0.0001"
