,time,vout
22167,68.67058805,1.812
22168,68.67369779,1.81
22169,68.67676403,1.812
22170,68.67983152,1.814
22171,68.68294577,1.814
22172,68.68607485,1.816
22173,68.6892124,1.816
22174,68.69256087,1.816
22175,68.69542372,1.818
22176,68.69851272,1.816
22177,68.70164192,1.818
22178,68.70474711,1.822
22179,68.70790163,1.822
22180,68.71098703,1.822
22181,68.71412314,1.822
22182,68.71722713,1.824
22183,68.72041224,1.824
22184,68.7235029,1.824
22185,68.72657692,1.826
22186,68.72970327,1.826
22187,68.73280322,1.826
22188,68.73601994,1.826
22189,68.73905685,1.826
22190,68.74216983,1.826
22191,68.74528185,1.826
22192,68.74842924,1.826
22193,68.7515227,1.826
22194,68.75464655,1.826
22195,68.75776918,1.826
22196,68.76091063,1.826
22197,68.76399652,1.826
22198,68.7670959,1.826
22199,68.77021166,1.826
22200,68.77333296,1.826
22201,68.77649598,1.826
22202,68.7796144,1.826
22203,68.78276583,1.824
22204,68.78586679,1.824
22205,68.78892592,1.824
22206,68.79205713,1.824
22207,68.79517766,1.824
22208,68.79832911,1.824
22209,68.80148872,1.824
22210,68.8045444,1.824
22211,68.80764718,1.824
22212,68.81076385,1.824
22213,68.81399605,1.824
22214,68.81701911,1.824
22215,68.82012909,1.824
22216,68.8232579,1.822
22217,68.8264574,1.824
22218,68.82955526,1.824
22219,68.83262366,1.824
22220,68.83581181,1.824
22221,68.83886979,1.824
22222,68.842015,1.826
22223,68.84509992,1.824
22224,68.84828975,1.826
22225,68.85134205,1.826
22226,68.85451707,1.83
22227,68.85782233,1.83
22228,68.86066411,1.832
22229,68.86403477,1.832
22230,68.86694202,1.834
22231,68.87006253,1.838
22232,68.87311318,1.838
22233,68.87622827,1.84
22234,68.87939789,1.842
22235,68.88284722,1.844
22236,68.88591848,1.846
22237,68.88890025,1.846
22238,68.89179918,1.85
22239,68.8949172,1.852
22240,68.89801992,1.854
22241,68.90114735,1.856
22242,68.90427053,1.858
22243,68.90745305,1.862
22244,68.91052692,1.864
22245,68.91360627,1.868
22246,68.91673494,1.872
22247,68.91984759,1.874
22248,68.92294396,1.878
22249,68.92607879,1.882
22250,68.92917202,1.89
22251,68.93229703,1.892
22252,68.93552714,1.898
22253,68.93853352,1.902
22254,68.94162292,1.908
22255,68.94472616,1.912
22256,68.94785839,1.916
22257,68.95096994,1.922
22258,68.95408563,1.926
22259,68.9572704,1.932
22260,68.96032737,1.936
22261,68.96352418,1.94
22262,68.9665402,1.946
22263,68.96963598,1.95
22264,68.97278338,1.956
22265,68.97600592,1.964
22266,68.97905726,1.97
22267,68.98221359,1.978
22268,68.9852864,1.986
22269,68.98842126,1.992
22270,68.99154385,2.0
22271,68.99463889,2.008
22272,68.99778727,2.014
22273,69.00102159,2.018
22274,69.00396575,2.024
22275,69.00760177,2.034
22276,69.01016298,2.04
22277,69.0133019,2.044
22278,69.01679657,2.054
22279,69.01954898,2.062
22280,69.02264285,2.068
22281,69.0257754,2.074
22282,69.02882685,2.08
22283,69.03193942,2.086
22284,69.03510079,2.09
22285,69.03819375,2.098
22286,69.04124792,2.104
22287,69.04445963,2.11
22288,69.04757842,2.118
22289,69.05063438,2.124
22290,69.05371785,2.13
22291,69.0568202,2.134
22292,69.05999285,2.142
22293,69.06303233,2.146
22294,69.06616907,2.15
22295,69.06927744,2.156
22296,69.07246487,2.16
22297,69.07555042,2.164
22298,69.07862677,2.168
22299,69.08175746,2.17
22300,69.08482574,2.174
22301,69.08798339,2.178
22302,69.0910994,2.18
22303,69.09417753,2.184
22304,69.09727574,2.186
22305,69.10047748,2.19
22306,69.10356281,2.19
22307,69.10661029,2.192
22308,69.10972892,2.194
22309,69.11284837,2.196
22310,69.11599957,2.198
22311,69.11906487,2.2
22312,69.1221872,2.2
22313,69.12530007,2.202
22314,69.12840196,2.202
22315,69.13161763,2.202
22316,69.13461003,2.202
22317,69.13770916,2.2
22318,69.14086605,2.198
22319,69.14402116,2.194
22320,69.14708601,2.19
22321,69.15049487,2.184
22322,69.15328055,2.174
22323,69.15639177,2.162
22324,69.15958648,2.148
22325,69.16264405,2.132
22326,69.16588603,2.11
22327,69.16899363,2.094
22328,69.1720827,2.076
22329,69.17519087,2.048
22330,69.17995994,2.024
22331,69.18141709,1.99
22332,69.18524503,1.95
22333,69.18755514,1.896
22334,69.19062725,1.846
22335,69.19465905,1.81
22336,69.19685555,1.788
22337,69.19994327,1.762
22338,69.2030587,1.736
22339,69.20623411,1.702
22340,69.20927985,1.672
22341,69.21238511,1.646
22342,69.21593557,1.622
22343,69.21875585,1.596
22344,69.22172109,1.578
22345,69.22481755,1.554
22346,69.22790605,1.52
22347,69.23100814,1.49
22348,69.23418525,1.458
22349,69.23722077,1.424
22350,69.2403225,1.398
22351,69.24350096,1.39
22352,69.24656407,1.38
22353,69.2496507,1.36
22354,69.25280724,1.348
22355,69.25596101,1.328
22356,69.25895566,1.31
22357,69.26209622,1.284
22358,69.26519092,1.266
22359,69.26833111,1.202
22360,69.27139659,1.172
22361,69.27451181,1.136
22362,69.27760187,1.108
22363,69.28071438,1.08
22364,69.28383725,1.076
22365,69.28695627,1.094
22366,69.29004312,1.096
22367,69.29311557,1.102
22368,69.29633942,1.104
22369,69.29932329,1.106
22370,69.30242877,1.102
22371,69.30568937,1.108
22372,69.3087152,1.108
22373,69.31177511,1.11
22374,69.31483883,1.11
22375,69.31795092,1.106
22376,69.32132966,1.104
22377,69.32414855,1.104
22378,69.32723057,1.104
22379,69.33042809,1.102
22380,69.33345877,1.102
22381,69.33675098,1.102
22382,69.33969605,1.1
22383,69.34461789,1.098
22384,69.34613166,1.098
22385,69.34897738,1.098
22386,69.352149,1.098
22387,69.35518296,1.098
22388,69.35832205,1.098
22389,69.36145605,1.098
22390,69.36453805,1.098
22391,69.3676369,1.1
22392,69.37067609,1.102
22393,69.37383581,1.102
22394,69.37688637,1.102
22395,69.37996763,1.102
22396,69.38305859,1.1
22397,69.3861214,1.1
22398,69.38921166,1.102
22399,69.39229509,1.1
22400,69.39554374,1.098
22401,69.39853127,1.096
22402,69.40159498,1.094
22403,69.40474874,1.094
22404,69.40784637,1.094
22405,69.41102227,1.094
22406,69.41408539,1.092
22407,69.41720763,1.092
22408,69.42022689,1.092
22409,69.42329525,1.092
22410,69.42645176,1.092
22411,69.42953322,1.092
22412,69.43264742,1.092
22413,69.43574572,1.092
22414,69.43883503,1.092
22415,69.44191025,1.092
22416,69.44506142,1.092
22417,69.44819014,1.092
22418,69.45127979,1.092
