Time,data
1714298452.7196507,2
1714298453.369587,1
1714298454.0598173,2
1714298454.6496718,1
1714298455.4299433,2
1714298456.089615,1
1714298456.8597164,2
1714298457.4696012,1
1714298458.2296982,2
1714298458.8196306,1
1714298459.56961,2
1714298460.2097783,1
1714298460.2606013,2
1714298460.2795906,1
1714298460.9598503,2
1714298461.5997686,1
1714298461.639693,2
1714298461.6699378,1
1714298462.3499017,2
1714298462.9897482,1
1714298463.7397199,2
1714298464.3196542,1
1714298465.0299788,2
1714298465.6696231,1
1714298466.3997066,2
1714298467.0106642,1
1714298467.689628,2
1714298468.289476,1
1714298469.0496342,2
1714298469.6896553,1
1714298470.439541,2
1714298471.0297146,1
1714298471.0698702,2
1714298471.099794,1
1714298471.7496772,2
1714298472.3996491,1
1714298473.1397562,2
1714298473.7596402,1
1714298474.4597135,2
1714298475.0727232,1
1714298475.78961,2
1714298476.3998468,1
1714298476.4396758,2
1714298476.4719229,1
1714298477.12989,2
1714298477.7598946,1
1714298477.8098412,2
1714298477.8297803,1
1714298478.5196414,2
1714298479.099819,1
1714298479.8597796,2
1714298480.5001948,1
1714298480.5297587,2
1714298480.5698655,1
1714298481.259795,2
1714298481.8697798,1
1714298481.899919,2
1714298481.9397163,1
1714298482.5898051,2
1714298483.1898093,1
1714298483.2198038,2
1714298483.2395325,1
1714298483.8997,2
1714298484.5296614,1
1714298484.5837684,2
1714298484.6197317,1
1714298485.249606,2
1714298485.8597157,1
1714298486.600014,2
1714298487.1995354,1
1714298487.929653,2
1714298488.5603578,1
1714298488.5997655,2
1714298488.6296992,1
1714298489.329775,2
1714298489.9923196,1
1714298490.039661,2
1714298490.0699036,1
1714298490.79962,2
1714298491.4696174,1
1714298492.2299666,2
1714298492.8396833,1
1714298492.8896198,2
1714298492.9097686,1
1714298493.5797524,2
1714298494.2195702,1
1714298494.9297187,2
1714298495.4997258,1
1714298496.1996224,2
1714298496.8496745,1
1714298496.8996964,2
1714298496.929805,1
1714298497.5698,2
1714298498.1497018,1
1714298498.1696866,2
1714298498.1996982,1
1714298498.8601968,2
1714298499.4497874,1
1714298500.159646,2
1714298500.8195753,1
1714298501.589769,2
1714298502.2096558,1
1714298502.9596498,2
1714298503.6196659,1
1714298504.289558,2
1714298504.9196024,1
1714298504.949695,2
1714298504.9798615,1
1714298505.6595566,2
1714298506.2895856,1
1714298506.3202353,2
1714298506.3498766,1
1714298507.009639,2
1714298507.6295428,1
1714298508.3796718,2
1714298508.9796982,1
1714298509.7296286,2
1714298510.3597512,1
1714298510.3996105,2
1714298510.419564,1
1714298511.0796857,2
1714298511.6795652,1
1714298512.3897362,2
1714298513.0098202,1
1714298513.7397687,2
1714298514.3896196,1
1714298515.139634,2
1714298515.8100388,1
1714298515.8400438,2
1714298515.879617,1
1714298516.5796146,2
1714298517.2296238,1
1714298517.9797118,2
1714298518.6196377,1
1714298519.2896423,2
1714298519.9096344,1
1714298520.6696744,2
1714298521.2797115,1
1714298521.2997837,2
1714298521.3299098,1
1714298522.039552,2
1714298522.7296143,1
1714298523.409635,2
1714298524.0496855,1
1714298524.789901,2
1714298525.419619,1
1714298526.1096497,2
1714298526.7196383,1
1714298527.4597743,2
1714298528.0895023,1
1714298528.8096511,2
1714298529.4117346,1
1714298530.2195837,2
1714298530.9096022,1
1714298531.5900147,2
1714298532.2722375,1
1714298532.9196975,2
1714298533.5198207,1
1714298534.2099054,2
1714298534.8295925,1
1714298535.4796371,2
1714298536.1698644,1
1714298536.789632,2
1714298537.399661,1
1714298537.4398174,2
1714298537.4597363,1
1714298538.119705,2
1714298538.769683,1
1714298539.4596546,2
1714298540.069824,1
1714298540.8396928,2
1714298541.479649,1
1714298542.1896455,2
1714298542.8396893,1
1714298543.5297089,2
1714298544.190053,1
1714298544.8896441,2
1714298545.519902,1
1714298546.2196038,2
1714298546.8395853,1
1714298547.5497444,2
1714298548.1798089,1
1714298548.2097147,2
1714298548.2398415,1
1714298548.8898237,2
1714298549.48978,1
1714298550.1697037,2
1714298550.7796888,1
1714298551.4797883,2
1714298552.1114926,1
1714298552.8520834,2
1714298553.4397876,1
1714298554.1898985,2
1714298554.7996657,1
1714298555.5197766,2
1714298556.189667,1
1714298556.8496146,2
1714298557.5297935,1
1714298558.2098184,2
1714298558.8595686,1
1714298559.619573,2
1714298560.2596033,1
1714298560.8996751,2
1714298561.5098174,1
1714298561.5396767,2
1714298561.5897708,1
1714298562.219792,2
1714298562.830231,1
1714298563.5696259,2
1714298564.1996381,1
1714298564.2296798,2
1714298564.2598045,1
1714298564.9196024,2
1714298565.539709,1
1714298566.2697268,2
1714298566.879652,1
1714298567.5996711,2
1714298568.1996584,1
1714298568.9396122,2
1714298569.5597072,1
1714298570.3196297,2
1714298570.9096777,1
1714298571.6998103,2
1714298572.3098438,1
1714298573.1098561,2
1714298573.7595596,1
1714298575.009759,2
1714298575.529591,1
1714298576.2599912,2
1714298576.859743,1
1714298577.6496708,2
1714298578.199683,1
1714298578.9596424,2
1714298579.370033,1
1714298581.5695794,2
1714298581.7994263,1
