Time,data
1714299046.7492995,2
1714299046.9593282,1
1714299048.1098442,2
1714299048.3893933,1
1714299049.3092227,2
1714299049.6493251,1
1714299050.639412,2
1714299051.0793693,1
1714299052.0492346,2
1714299052.5393841,1
1714299053.4591572,2
1714299054.009096,1
1714299054.969154,2
1714299055.4793823,1
1714299056.4493303,2
1714299057.0794477,1
1714299058.099077,2
1714299058.4290485,1
1714299059.5191512,2
1714299059.699096,1
1714299060.6890657,2
1714299060.879895,1
1714299062.0494313,2
1714299062.1401107,1
1714299068.4801114,2
1714299068.899693,1
1714299069.7393544,2
1714299070.1795576,1
1714299071.0595596,2
1714299071.5592175,1
1714299072.3692548,2
1714299072.7193236,1
1714299073.5691812,2
1714299074.0393739,1
1714299074.9195657,2
1714299075.359261,1
1714299076.1992817,2
1714299076.6493802,1
1714299077.479473,2
1714299077.879573,1
1714299078.699342,2
1714299079.0893967,1
1714299079.9992921,2
1714299080.4096496,1
1714299081.2496536,2
1714299081.629905,1
1714299082.4895363,2
1714299082.959314,1
1714299083.8293705,2
1714299084.2596824,1
1714299085.0793161,2
1714299085.479442,1
1714299086.3297465,2
1714299086.7894235,1
1714299087.639497,2
1714299088.0791492,1
1714299088.9194088,2
1714299089.3495138,1
1714299090.1793332,2
1714299090.5895665,1
1714299091.4497666,2
1714299091.8694456,1
1714299092.6794443,2
1714299093.0993335,1
1714299093.9595687,2
1714299094.369374,1
1714299095.2594163,2
1714299095.7095609,1
1714299096.5594625,2
1714299097.0118682,1
1714299097.8394961,2
1714299098.3093684,1
1714299099.1594014,2
1714299099.6499887,1
1714299100.509448,2
1714299100.9895291,1
1714299101.8392036,2
1714299102.3193212,1
1714299103.1500347,2
1714299103.57933,1
1714299104.4192495,2
1714299104.889481,1
1714299105.739406,2
1714299106.1795287,1
1714299107.0595942,2
1714299107.5495524,1
1714299108.4295077,2
1714299108.8902736,1
1714299109.7794201,2
1714299110.1893764,1
1714299111.0697107,2
1714299111.5498183,1
1714299112.3995368,2
1714299112.8394165,1
1714299113.670128,2
1714299114.0993476,1
1714299114.9394805,2
1714299115.3492055,1
1714299116.2196186,2
1714299116.659368,1
1714299117.50939,2
1714299117.9593158,1
1714299118.859457,2
1714299119.3191595,1
1714299120.1693068,2
1714299120.6096995,1
1714299121.439221,2
1714299121.859328,1
1714299122.749265,2
1714299123.1791956,1
1714299124.0095184,2
1714299124.4694188,1
1714299125.2899141,2
1714299125.7194796,1
1714299126.5708551,2
1714299126.9998567,1
1714299127.8596444,2
1714299128.259474,1
1714299129.1293972,2
1714299129.5499384,1
1714299130.4192386,2
1714299130.869327,1
1714299131.719343,2
1714299132.12925,1
1714299132.9893868,2
1714299133.409353,1
1714299134.2595203,2
1714299134.7292721,1
1714299135.5593903,2
1714299135.98942,1
1714299136.7893426,2
1714299137.2293584,1
1714299138.059353,2
1714299138.4995036,1
1714299139.3792698,2
1714299139.8392997,1
1714299140.689763,2
1714299141.0992146,1
1714299141.9192398,2
1714299142.379277,1
1714299143.2694519,2
1714299143.7193809,1
1714299144.5994544,2
1714299145.0192564,1
1714299145.929326,2
1714299146.3692558,1
1714299147.1992629,2
1714299147.649313,1
1714299148.5095854,2
1714299148.9598339,1
1714299149.7592492,2
1714299150.1794975,1
1714299151.0195296,2
1714299151.4795473,1
1714299152.2994428,2
1714299152.7395642,1
1714299153.59925,2
1714299154.0295324,1
1714299154.8992333,2
1714299155.3396251,1
1714299156.149473,2
1714299156.5693042,1
1714299157.459416,2
1714299157.8693123,1
1714299158.7593503,2
1714299159.209278,1
1714299160.079276,2
1714299160.5393713,1
1714299161.4196882,2
1714299161.9200702,1
1714299162.7896912,2
1714299163.2193,1
1714299164.0992393,2
1714299164.539465,1
1714299165.3792896,2
1714299165.7993944,1
1714299166.6594765,2
1714299167.1192827,1
1714299167.9793463,2
1714299168.4092145,1
1714299169.2494762,2
1714299169.719337,1
1714299170.599684,2
1714299171.0796528,1
1714299171.979284,2
1714299172.4096394,1
1714299173.1995275,2
1714299173.569199,1
1714299174.3893456,2
1714299174.8193562,1
1714299175.679228,2
1714299176.099312,1
1714299176.9798713,2
1714299177.4292374,1
1714299178.289561,2
1714299178.7894099,1
1714299179.6794991,2
1714299180.1494026,1
1714299181.0492609,2
1714299181.4994574,1
1714299182.379508,2
1714299182.85995,1
1714299183.7797263,2
1714299184.219243,1
1714299185.0793815,2
1714299185.4799898,1
1714299186.3593738,2
1714299186.7593327,1
1714299187.660558,2
1714299188.0591528,1
1714299188.9191377,2
1714299189.3793128,1
1714299190.2490816,2
1714299190.6294768,1
1714299191.4791522,2
1714299191.9111261,1
1714299192.749542,2
1714299193.2016797,1
1714299194.0404186,2
1714299194.4795618,1
1714299195.329585,2
1714299195.729435,1
1714299196.5694973,2
1714299197.0488048,1
1714299197.9789536,2
1714299198.3890238,1
