Time,data
1714300189.9491267,2
1714300190.3586562,1
1714300191.2785788,2
1714300191.7095463,1
1714300192.578747,2
1714300193.078581,1
1714300193.8886201,2
1714300194.3189735,1
1714300195.1786332,2
1714300195.6489162,1
1714300196.5385907,2
1714300197.0088384,1
1714300197.8393736,2
1714300198.2891288,1
1714300199.1507733,2
1714300199.6186805,1
1714300200.4486632,2
1714300200.918563,1
1714300201.7386353,2
1714300202.2085717,1
1714300202.9885345,2
1714300203.4585817,1
1714300204.268653,2
1714300204.7285926,1
1714300205.5387669,2
1714300205.9886122,1
1714300206.8288612,2
1714300207.2785976,1
1714300208.0988595,2
1714300208.4787166,1
1714300209.308891,2
1714300209.758869,1
1714300210.568688,2
1714300211.0186427,1
1714300211.878959,2
1714300212.3392255,1
1714300213.1687849,2
1714300213.598748,1
1714300214.4284623,2
1714300214.8885658,1
1714300215.6902628,2
1714300216.1295335,1
1714300216.938623,2
1714300217.4008148,1
1714300218.2187264,2
1714300218.628569,1
1714300219.4685838,2
1714300219.9286802,1
1714300220.7694228,2
1714300221.1390638,1
1714300221.948531,2
1714300222.3890562,1
1714300223.1985795,2
1714300223.6405013,1
1714300224.5085652,2
1714300224.9485054,1
1714300225.7685456,2
1714300226.2285862,1
1714300227.0691888,2
1714300227.5404356,1
1714300228.3785992,2
1714300228.8391993,1
1714300229.6587048,2
1714300230.068759,1
1714300230.9286885,2
1714300231.3691132,1
1714300232.208925,2
1714300232.6787658,1
1714300233.5285523,2
1714300233.9985542,1
1714300234.8390603,2
1714300235.2589579,1
1714300236.128626,2
1714300236.5689006,1
1714300237.4290004,2
1714300237.908634,1
1714300238.7685359,2
1714300239.1886277,1
1714300240.0488563,2
1714300240.518939,1
1714300241.3788176,2
1714300241.8493779,1
1714300242.6485682,2
1714300243.1088128,1
1714300243.9399872,2
1714300244.469794,1
1714300245.2986856,2
1714300245.7198355,1
1714300246.558605,2
1714300247.0085254,1
1714300247.8386219,2
1714300248.2786202,1
1714300249.0986073,2
1714300249.5588107,1
1714300250.3687263,2
1714300250.849025,1
1714300251.6790838,2
1714300252.1294916,1
1714300252.9685688,2
1714300253.4594226,1
1714300254.2890663,2
1714300254.7886274,1
1714300255.6396422,2
1714300256.0698397,1
1714300256.8986337,2
1714300257.318661,1
1714300258.1288033,2
1714300258.5690446,1
1714300259.4093468,2
1714300259.8488321,1
1714300260.6988003,2
1714300261.168579,1
1714300262.0186496,2
1714300262.4593978,1
1714300263.2689054,2
1714300263.7286081,1
1714300264.6191251,2
1714300265.018656,1
1714300265.8485978,2
1714300266.3085206,1
1714300267.1291552,2
1714300267.57862,1
1714300268.3991396,2
1714300268.8689191,1
1714300269.6885424,2
1714300270.098593,1
1714300270.9086397,2
1714300271.338564,1
1714300272.1890829,2
1714300272.6785653,1
1714300273.468654,2
1714300273.9386454,1
1714300274.7288666,2
1714300275.1985967,1
1714300276.0286045,2
1714300276.5187695,1
1714300277.4089825,2
1714300277.8596537,1
1714300278.6886308,2
1714300279.1587985,1
1714300280.0189407,2
1714300280.4990351,1
1714300281.3186674,2
1714300281.7994485,1
1714300282.6285765,2
1714300283.0687358,1
1714300283.8886323,2
1714300284.3287394,1
1714300285.1489239,2
1714300285.6189513,1
1714300286.43976,2
1714300286.939702,1
1714300287.7788527,2
1714300288.2285903,1
1714300289.068567,2
1714300289.5189455,1
1714300290.3388443,2
1714300290.798856,1
1714300291.6285443,2
1714300292.0886517,1
1714300292.938549,2
1714300293.418736,1
1714300294.2985384,2
1714300294.7786672,1
1714300295.6091723,2
1714300296.088798,1
1714300296.9386644,2
1714300297.4486604,1
1714300298.2786345,2
1714300298.7487812,1
1714300299.598794,2
1714300300.029031,1
1714300300.9289043,2
1714300301.3587527,1
1714300302.19858,2
1714300302.6487365,1
1714300303.498694,2
1714300303.9392352,1
1714300304.758656,2
1714300305.2185314,1
1714300306.0585885,2
1714300306.5390143,1
1714300307.38857,2
1714300307.8685393,1
1714300308.7098742,2
1714300309.158983,1
1714300310.0288181,2
1714300310.4486568,1
1714300311.3387156,2
1714300311.7386954,1
1714300312.9087837,2
1714300313.1394463,1
1714300314.158648,2
1714300314.3385572,1
1714300315.6388788,2
1714300316.0598247,1
1714300317.138622,2
1714300317.5085394,1
