Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7
1714300175.5093117,[],0,0.0,-0.20000000298023224,-0.19968582689762115,-0.199608713388443,-0.19963644444942474,-0.19963544607162476,-0.19963544607162476,0.00036455923691391945
1714300175.5193157,[],0,0.0,-0.20000000298023224,-0.19954387843608856,-0.19931049644947052,-0.19940361380577087,-0.19957077503204346,-0.19957077503204346,0.0004292003286536783
1714300175.5289614,[],0,0.0,-0.20000000298023224,-0.19938676059246063,-0.1989220380783081,-0.19910061359405518,-0.19936084747314453,-0.19936084747314453,0.0006391148781403899
1714300175.5389948,[],0,0.0,-0.20000000298023224,-0.19930826127529144,-0.1984599530696869,-0.19870373606681824,-0.19905710220336914,-0.19905710220336914,0.0009428623598068953
1714300175.549124,[],0,0.0,-0.20000000298023224,-0.19938676059246063,-0.19823618233203888,-0.19846975803375244,-0.19901026785373688,-0.19901026785373688,0.0009897168492898345
1714300175.5591435,[],0,0.0,-0.20000000298023224,-0.19945022463798523,-0.1979243904352188,-0.19815759360790253,-0.19901730120182037,-0.19901730120182037,0.0009826639434322715
1714300175.5690556,[],0,0.0,-0.20000000298023224,-0.19968582689762115,-0.1978556513786316,-0.19810858368873596,-0.199062317609787,-0.19882386922836304,0.0011760819470509887
1714300175.5790386,[],0,0.0,-0.20000000298023224,-0.1999063491821289,-0.19784678518772125,-0.1980716586112976,-0.1991574466228485,-0.19868239760398865,0.0013175293570384383
1714300175.5891542,[],0,0.0,-0.20000000298023224,-0.20019032061100006,-0.19804944097995758,-0.19831517338752747,-0.19949595630168915,-0.19886291027069092,0.001136976177804172
1714300175.5990462,[],0,0.0,-0.20000000298023224,-0.2004743069410324,-0.1983313113451004,-0.1986864060163498,-0.19986814260482788,-0.19907797873020172,0.0009219030034728348
1714300175.6090958,[],0,0.0,-0.20000000298023224,-0.2006797194480896,-0.1986096203327179,-0.1991240382194519,-0.20030678808689117,-0.1994371861219406,0.0005626471247524023
1714300175.6191335,[],0,0.0,-0.20000000298023224,-0.20088520646095276,-0.19911319017410278,-0.19965998828411102,-0.20078764855861664,-0.19984042644500732,0.00015940630692057312
1714300175.628963,[],0,0.0,-0.20000000298023224,-0.20116910338401794,-0.1996222287416458,-0.20020151138305664,-0.20121712982654572,-0.2002699077129364,-0.00027004454750567675
1714300175.6390474,[],0,0.0,-0.20000000298023224,-0.20123256742954254,-0.19999010860919952,-0.20064912736415863,-0.20157065987586975,-0.20070293545722961,-0.0007031031418591738
