Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1714300171.4109244,1,1714300171,178277015,,2,/afo_arduino,Connecting to /dev/ttyACM0 at 57600 baud,serial_node.py,<module>,86,['/rosout']
1714300171.9802628,2,1714300171,979824513,,2,/afo_rosbag_record,Subscribing to /afo_controller/maxTorquePlantar,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1714300171.9840403,3,1714300171,983673496,,2,/afo_rosbag_record,Subscribing to /afo_controller/dirPlantar,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1714300171.9875216,4,1714300171,987027573,,2,/afo_rosbag_record,Subscribing to /afo_controller/fall_time_dorsi,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1714300171.991041,5,1714300171,990702027,,2,/afo_rosbag_record,Subscribing to /afo_controller/motor_data_dorsi,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1714300171.994512,6,1714300171,994256809,,2,/afo_rosbag_record,Subscribing to /afo_controller/start_time_plantar,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1714300171.9968975,7,1714300171,996671128,,2,/afo_rosbag_record,Subscribing to /afo_controller/dorsi_zeroing_done,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1714300171.9994104,8,1714300171,999215338,,2,/afo_rosbag_record,Subscribing to /afo_controller/dorsi_pretension,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1714300172.0015748,9,1714300172,1257215,,2,/afo_rosbag_record,Subscribing to /diagnostics,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1714300172.0045323,10,1714300172,4021249,,2,/afo_rosbag_record,Subscribing to /afo_controller/motor_data_plantar,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
