Time,data
1714300339.8629792,2
1714300340.5029693,1
1714300341.172738,2
1714300341.792846,1
1714300342.4427607,2
1714300343.083928,1
1714300343.7427669,2
1714300344.4129782,1
1714300345.0628815,2
1714300345.6829424,1
1714300346.3228154,2
1714300346.9429033,1
1714300347.593646,2
1714300348.2328615,1
1714300348.884068,2
1714300349.4928117,1
1714300350.1427667,2
1714300350.792788,1
1714300351.453126,2
1714300352.1127748,1
1714300352.8428125,2
1714300353.4627442,1
1714300354.1335943,2
1714300354.7828448,1
1714300355.4529223,2
1714300356.143233,1
1714300356.7942207,2
1714300357.4129088,1
1714300358.062745,2
1714300358.6629283,1
1714300359.2528095,2
1714300359.8632402,1
1714300360.5030107,2
1714300361.1328974,1
1714300361.782927,2
1714300362.4129095,1
1714300363.0928788,2
1714300363.7828867,1
1714300364.4029107,2
1714300365.0327454,1
1714300365.053645,2
1714300365.0930066,1
1714300365.7228224,2
1714300366.342894,1
1714300366.972764,2
1714300367.6229265,1
1714300368.2728372,2
1714300368.9127963,1
1714300369.5729423,2
1714300370.202911,1
1714300370.2330654,2
1714300370.2537956,1
1714300370.9338112,2
1714300371.6040366,1
1714300372.2634149,2
1714300372.8730407,1
1714300373.5829663,2
1714300374.1829107,1
1714300374.2143502,2
1714300374.272931,1
1714300374.853704,2
1714300375.4841855,1
1714300376.2236376,2
1714300376.8128712,1
1714300377.4730036,2
1714300378.0928295,1
1714300378.7328234,2
1714300379.422943,1
1714300380.0929637,2
1714300380.7128904,1
1714300381.3827677,2
1714300382.1133318,1
1714300382.782783,2
1714300383.4327874,1
1714300384.1228356,2
1714300384.8128622,1
1714300385.4736395,2
1714300386.1033578,1
1714300386.7529144,2
1714300387.384244,1
1714300388.0531135,2
1714300388.7228596,1
1714300389.3926475,2
1714300390.012928,1
1714300390.6430187,2
1714300391.2330706,1
1714300391.812756,2
1714300392.4327939,1
1714300393.0429428,2
1714300393.6728086,1
1714300394.3135934,2
1714300394.9628227,1
1714300395.592823,2
1714300396.2527852,1
1714300396.9128044,2
1714300397.5528243,1
1714300397.5935695,2
1714300397.6229901,1
1714300398.3328652,2
1714300398.9431236,1
1714300399.6629672,2
1714300400.3028395,1
1714300400.9527893,2
1714300401.5329382,1
1714300402.2232645,2
1714300402.8428,1
1714300403.492847,2
1714300404.1632166,1
1714300404.834082,2
1714300405.4840539,1
1714300406.124319,2
1714300406.7328947,1
1714300407.3829124,2
1714300408.073989,1
1714300408.7428913,2
1714300409.372948,1
1714300410.0336616,2
1714300410.6528044,1
1714300410.6927915,2
1714300410.7237084,1
1714300411.344511,2
1714300411.9730322,1
1714300412.6336267,2
1714300413.2728953,1
1714300413.8431156,2
1714300414.4829185,1
1714300414.523827,2
1714300414.553058,1
1714300415.1337526,2
1714300415.7428832,1
1714300416.4328473,2
1714300417.0528946,1
1714300417.6927843,2
1714300418.3129869,1
1714300419.0139499,2
1714300419.6627703,1
1714300420.3039706,2
1714300420.9431262,1
1714300421.5928457,2
1714300422.283607,1
1714300422.9540694,2
1714300423.5828626,1
1714300424.2730205,2
1714300424.8938308,1
1714300425.5329175,2
1714300426.2028172,1
1714300426.832917,2
1714300427.4029262,1
1714300428.0428314,2
1714300428.713007,1
1714300429.39282,2
1714300430.0829365,1
1714300430.7628932,2
1714300431.4040022,1
1714300432.0137122,2
1714300432.6730664,1
1714300433.333065,2
1714300433.972948,1
1714300434.0034623,2
1714300434.0330424,1
1714300434.7029128,2
1714300435.3339946,1
1714300436.0428884,2
1714300436.6328886,1
1714300437.3036013,2
1714300437.9929402,1
1714300438.6644766,2
1714300439.3136928,1
1714300440.0228248,2
1714300440.6628015,1
1714300441.3032815,2
1714300441.9127533,1
1714300442.5729725,2
1714300443.2028828,1
1714300443.8637197,2
1714300444.5233502,1
1714300445.173619,2
1714300445.8428383,1
1714300446.4939003,2
1714300447.1329546,1
1714300447.8728206,2
1714300448.4728947,1
1714300449.1226275,2
1714300449.7528887,1
1714300450.4337902,2
1714300451.032715,1
1714300451.6929555,2
1714300452.3335218,1
1714300453.0138922,2
1714300453.6141295,1
1714300454.2727787,2
1714300454.9027612,1
1714300455.5328107,2
1714300456.2179012,1
1714300456.8527727,2
1714300457.4839873,1
1714300458.202814,2
1714300458.8828278,1
1714300458.9231708,2
1714300458.96313,1
1714300459.6828258,2
1714300460.412916,1
1714300461.2529972,2
1714300462.2029188,1
1714300462.9936278,2
1714300463.3127303,1
1714300463.742754,2
1714300464.1528833,1
1714300464.8130739,2
1714300465.4729154,1
1714300466.0029166,2
1714300466.3829715,1
