Time,data
1714300935.451509,2
1714300935.921374,1
1714300949.7613938,2
1714300950.3713436,1
1714300951.0415735,2
1714300951.7117145,1
1714300952.3515997,2
1714300952.981933,1
1714300953.671638,2
1714300954.23284,1
1714300954.8418498,2
1714300955.4516473,1
1714300956.0717537,2
1714300956.681974,1
1714300957.3916643,2
1714300958.0216012,1
1714300958.641835,2
1714300959.2727716,1
1714300959.3018367,2
1714300959.3319533,1
1714300960.0016704,2
1714300960.6215653,1
1714300960.6616023,2
1714300960.7219887,1
1714300961.341617,2
1714300961.9118032,1
1714300962.5215673,2
1714300963.1217096,1
1714300963.7415369,2
1714300964.3615978,1
1714300964.9915984,2
1714300965.5715792,1
1714300965.6215606,2
1714300965.6419966,1
1714300966.181984,2
1714300966.7615638,1
1714300966.812209,2
1714300966.8317006,1
1714300967.4318724,2
1714300968.012104,1
1714300968.7318192,2
1714300969.3318949,1
1714300969.9715955,2
1714300970.5814424,1
1714300971.201838,2
1714300971.8116019,1
1714300971.8416507,2
1714300971.8624423,1
1714300972.4715183,2
1714300973.0915816,1
1714300973.8316033,2
1714300974.4215815,1
1714300975.1417615,2
1714300975.741842,1
1714300975.7716887,2
1714300975.791582,1
1714300976.4215531,2
1714300977.0616562,1
1714300977.7816129,2
1714300978.3815272,1
1714300978.4015708,2
1714300978.4315586,1
1714300979.0715456,2
1714300979.68162,1
1714300979.7117732,2
1714300979.7415922,1
1714300980.3916657,2
1714300981.0528908,1
1714300981.6816115,2
1714300982.3116958,1
1714300982.3417218,2
1714300982.372081,1
1714300983.021751,2
1714300983.7217002,1
1714300984.411602,2
1714300985.061605,1
1714300985.11156,2
1714300985.1415114,1
1714300985.7831817,2
1714300986.3915365,1
1714300987.0716186,2
1714300987.6716142,1
1714300988.3615685,2
