Time,data
1714453448.242863,2
1714453448.8428535,1
1714453449.532938,2
1714453450.2028804,1
1714453450.8629804,2
1714453451.4631305,1
1714453452.1227207,2
1714453452.7128863,1
1714453453.3426805,2
1714453453.9727504,1
1714453454.6430254,2
1714453455.272896,1
1714453455.9229558,2
1714453456.4833753,1
1714453457.1128247,2
1714453457.7227902,1
1714453457.7426682,2
1714453457.7927084,1
1714453458.3930552,2
1714453459.012978,1
1714453459.6627772,2
1714453460.322973,1
1714453460.9629602,2
1714453461.5829663,1
1714453462.2027574,2
1714453462.853032,1
1714453463.4928231,2
1714453464.1029785,1
1714453464.7339108,2
1714453465.3827198,1
1714453466.022912,2
1714453466.6328647,1
1714453467.2726638,2
1714453467.9229958,1
1714453468.5027337,2
1714453469.112801,1
1714453469.1231568,2
1714453469.1527133,1
1714453469.8026881,2
1714453470.4027228,1
1714453471.0728528,2
1714453471.7332082,1
1714453472.3831933,2
1714453473.0042858,1
1714453473.6229246,2
1714453474.2127602,1
1714453474.8128595,2
1714453475.3728743,1
1714453475.993177,2
1714453476.532894,1
1714453477.092799,2
1714453477.7530484,1
1714453477.7929425,2
1714453477.8330703,1
1714453478.3527334,2
1714453479.0032334,1
1714453479.7628095,2
1714453480.4726584,1
1714453480.5228176,2
1714453480.562683,1
1714453481.0436049,2
1714453481.6627665,1
1714453482.2728372,2
1714453482.902956,1
1714453483.553074,2
1714453484.1930404,1
1714453484.8630457,2
1714453485.4128911,1
1714453486.0926447,2
1714453486.733134,1
1714453487.3928952,2
1714453487.9830039,1
1714453488.5927668,2
1714453489.142706,1
1714453489.7627344,2
1714453490.3536823,1
1714453490.9927504,2
1714453491.6129007,1
1714453492.2328744,2
1714453492.872836,1
1714453493.5230055,2
1714453494.1327493,1
1714453494.7726707,2
1714453495.3929625,1
1714453495.4127352,2
1714453495.4528975,1
1714453496.0027673,2
1714453496.643196,1
1714453497.272692,2
1714453497.913,1
1714453498.5738358,2
1714453499.1729805,1
1714453499.8527644,2
1714453500.4637508,1
1714453501.0928113,2
1714453501.6929588,1
1714453502.322798,2
1714453502.9331658,1
1714453503.5826616,2
1714453504.1826897,1
1714453504.8429084,2
1714453505.4627063,1
1714453506.1026633,2
1714453506.7127314,1
1714453507.362756,2
1714453507.9627566,1
1714453508.6328025,2
1714453509.2628982,1
1714453509.9130323,2
1714453510.482949,1
1714453511.0728867,2
1714453511.6630545,1
1714453512.3059413,2
1714453512.8927453,1
1714453513.5227563,2
1714453514.093156,1
1714453514.7429674,2
1714453515.3728433,1
1714453516.0539446,2
1714453516.6534157,1
1714453517.3333523,2
1714453517.9029512,1
1714453518.5730135,2
1714453519.1727686,1
1714453519.8329313,2
1714453520.4533052,1
1714453521.1536307,2
1714453521.782687,1
1714453522.4926724,2
1714453523.0329318,1
1714453523.692941,2
1714453524.2829137,1
1714453524.9129555,2
1714453525.5430186,1
1714453526.2138324,2
1714453526.8147862,1
1714453527.4830868,2
1714453528.0829544,1
1714453528.7429287,2
1714453529.322771,1
1714453530.0027797,2
1714453530.5628963,1
1714453531.2627957,2
1714453531.932702,1
1714453532.6427715,2
1714453533.182814,1
1714453533.8327155,2
1714453534.4430203,1
1714453535.1128209,2
1714453535.642685,1
1714453536.273021,2
1714453536.8838506,1
1714453537.5627596,2
1714453538.1430433,1
1714453538.8027847,2
1714453539.43322,1
1714453540.113002,2
1714453540.7627096,1
1714453541.4232202,2
1714453541.9727647,1
1714453542.6828237,2
1714453543.3231435,1
1714453543.9727645,2
1714453544.5628788,1
1714453545.223531,2
1714453545.8027852,1
1714453546.4727035,2
1714453546.9930325,1
1714453547.5529075,2
1714453548.1327424,1
1714453548.8030336,2
1714453549.392963,1
1714453550.0532267,2
1714453550.7427115,1
1714453551.392896,2
1714453552.0928843,1
1714453552.7829478,2
1714453553.3331673,1
1714453554.0127125,2
1714453554.6030076,1
1714453555.272728,2
1714453555.9630191,1
1714453556.6328385,2
1714453557.2627368,1
1714453557.9529104,2
1714453558.562853,1
1714453559.2226455,2
1714453559.8834846,1
1714453560.4829657,2
1714453561.0530808,1
1714453561.7227967,2
1714453562.30312,1
1714453563.022847,2
1714453563.67267,1
1714453564.356696,2
1714453564.9138033,1
1714453565.5827963,2
1714453566.1828284,1
1714453566.8427107,2
1714453567.433929,1
1714453568.0926821,2
1714453568.6627321,1
1714453569.3527184,2
1714453570.0226674,1
1714453574.4829443,2
1714453574.9028838,1
1714453577.1530545,2
1714453577.712739,1
1714453578.622891,2
1714453579.4026759,1
1714453580.1927204,2
1714453580.4527779,1
1714453583.5626743,2
