Time,data
1714454685.6602643,2
1714454685.9503152,1
1714454686.8502355,2
1714454687.3002493,1
1714454688.0902488,2
1714454688.6302075,1
1714454689.230359,2
1714454689.7507184,1
1714454690.4002318,2
1714454691.0904438,1
1714454691.6803322,2
1714454692.2304037,1
1714454692.7502508,2
1714454693.3602438,1
1714454704.7603168,2
1714454705.4102805,1
1714454706.2104573,2
1714454706.810335,1
1714454707.5704908,2
1714454708.1803942,1
1714454708.8802588,2
1714454709.470269,1
1714454710.1102686,2
1714454710.6904016,1
1714454710.7202802,2
1714454710.730226,1
1714454711.4502094,2
1714454712.0308318,1
1714454712.6917558,2
1714454713.3103223,1
1714454714.0202434,2
1714454714.640285,1
1714454715.3202877,2
1714454715.9503353,1
1714454716.6403418,2
1714454717.270351,1
1714454717.9703023,2
1714454718.5502534,1
1714454719.210257,2
1714454719.810763,1
1714454720.53028,2
1714454721.1605513,1
1714454721.8702936,2
1714454722.4803,1
1714454723.1905372,2
1714454723.770515,1
1714454724.5402627,2
1714454725.1209583,1
1714454725.8202531,2
1714454726.4002385,1
1714454727.1002169,2
1714454727.7002676,1
1714454728.430339,2
1714454728.9905083,1
1714454729.6803308,2
1714454730.3002892,1
1714454731.0402164,2
1714454731.6104825,1
1714454732.3507257,2
1714454732.9602334,1
1714454733.6703146,2
1714454734.3002994,1
1714454735.040234,2
1714454735.63028,1
1714454736.340359,2
1714454736.94026,1
1714454737.6902676,2
1714454738.3006625,1
1714454739.100269,2
1714454739.6907246,1
1714454740.450205,2
1714454741.050284,1
1714454741.7704449,2
1714454742.3402457,1
1714454743.0902278,2
1714454743.710268,1
1714454744.5404344,2
1714454745.140287,1
1714454745.89027,2
1714454746.4702811,1
1714454746.5104864,2
1714454746.5302556,1
1714454747.2510285,2
1714454747.7403321,1
1714454748.440473,2
1714454749.0003438,1
1714454749.7502375,2
1714454750.2904508,1
1714454750.9402137,2
1714454751.5002334,1
1714454752.220437,2
1714454752.8702538,1
1714454753.6302428,2
1714454754.3003416,1
1714454755.0704396,2
1714454755.6902444,1
1714454756.480442,2
1714454757.0905027,1
1714454757.8803391,2
1714454758.4602442,1
1714454759.2203677,2
1714454759.8002634,1
1714454760.560278,2
1714454761.1303403,1
1714454761.9106731,2
1714454762.490215,1
1714454763.1803055,2
1714454763.780256,1
1714454764.5605676,2
1714454765.1502564,1
1714454765.860293,2
1714454766.470374,1
1714454767.1502519,2
1714454767.6904461,1
1714454768.4102483,2
1714454769.0204825,1
1714454769.7103078,2
1714454770.270292,1
1714454771.0102198,2
1714454771.6102226,1
1714454772.3502293,2
1714454772.9302704,1
1714454773.6702795,2
1714454774.2604249,1
1714454775.0402324,2
1714454775.6807766,1
1714454776.5006273,2
1714454777.090588,1
1714454777.8703113,2
1714454778.480238,1
1714454779.2403355,2
1714454779.8503294,1
1714454780.6002297,2
1714454781.210259,1
1714454781.9903772,2
1714454782.550288,1
1714454783.3104203,2
1714454783.9005468,1
1714454784.6502168,2
1714454785.260305,1
1714454786.0002458,2
1714454786.6202607,1
1714454787.3802793,2
1714454787.980649,1
1714454788.760323,2
1714454789.3106873,1
1714454790.0508044,2
1714454790.6403968,1
1714454791.4102695,2
1714454791.9903438,1
1714454792.7010362,2
1714454793.3303223,1
1714454794.0809586,2
1714454794.7204635,1
1714454795.4602706,2
1714454796.1102526,1
1714454796.860627,2
1714454797.4302218,1
1714454798.2107534,2
1714454798.7702637,1
1714454799.4904466,2
1714454800.0803509,1
1714454800.8505094,2
1714454801.4702492,1
1714454802.2702863,2
1714454802.8402724,1
1714454803.6402476,2
1714454804.2202487,1
1714454805.020244,2
1714454805.6004243,1
1714454806.3003209,2
1714454806.970236,1
1714454807.7502944,2
1714454808.4102757,1
1714454809.1003344,2
1714454809.6902452,1
1714454810.4302201,2
1714454811.0602517,1
1714454811.780289,2
1714454812.340337,1
1714454813.0805945,2
1714454813.6909468,1
1714454814.440355,2
1714454815.0104918,1
1714454815.7902386,2
1714454816.4402876,1
1714454817.200242,2
1714454817.820299,1
1714454818.61039,2
1714454819.210334,1
1714454819.990781,2
1714454820.6202455,1
1714454821.370247,2
1714454821.970306,1
1714454822.7602303,2
1714454823.3602576,1
1714454824.0304508,2
1714454824.6803927,1
1714454825.4002993,2
1714454826.0202696,1
1714454826.780308,2
1714454827.4702373,1
1714454829.7002509,2
1714454830.2306864,1
1714454831.0404723,2
1714454831.6602733,1
1714454832.4602568,2
1714454833.0502605,1
1714454833.8104234,2
1714454834.4602466,1
1714454835.2112818,2
1714454835.8202407,1
1714454836.6503625,2
1714454837.3002694,1
1714454838.2103198,2
1714454838.7902486,1
1714454839.6004047,2
1714454840.2103493,1
1714454840.9302537,2
1714454841.5202708,1
1714454842.1402252,2
1714454842.7305744,1
