Time,data
1714457134.4363928,2
1714457134.8964262,1
1714457135.8263347,2
1714457136.3064246,1
1714457137.1365883,2
1714457137.5263853,1
1714457138.3165014,2
1714457138.7663908,1
1714457139.6064363,2
1714457140.016794,1
1714457140.8465133,2
1714457141.2664957,1
1714457142.0964515,2
1714457142.5463476,1
1714457143.3370368,2
1714457143.746452,1
1714457144.5581238,2
1714457144.9963512,1
1714457145.7963636,2
1714457146.2763958,1
1714457147.026353,2
1714457147.456429,1
1714457148.236378,2
1714457148.6866736,1
1714457149.5063694,2
1714457149.9563398,1
1714457150.7863822,2
1714457151.2363567,1
1714457152.0764651,2
1714457152.546391,1
1714457153.3864434,2
1714457153.8564494,1
1714457154.696543,2
1714457155.1464262,1
1714457155.9470906,2
1714457156.4068682,1
1714457157.2063665,2
1714457157.656479,1
1714457158.4564295,2
1714457158.8764853,1
1714457159.7065136,2
1714457160.1464393,1
1714457160.976388,2
1714457161.4164188,1
1714457162.2368507,2
1714457162.6764627,1
1714457163.5363302,2
1714457163.996329,1
1714457164.796523,2
1714457165.2563844,1
1714457166.0763884,2
1714457166.506436,1
1714457167.3163514,2
1714457167.796374,1
1714457168.6364083,2
1714457169.0663762,1
1714457169.8763504,2
1714457170.3068907,1
1714457171.1164892,2
1714457171.5763397,1
1714457172.3963609,2
1714457172.8063679,1
1714457173.60637,2
1714457174.0365894,1
1714457174.8864057,2
1714457175.3071644,1
1714457176.0963612,2
1714457176.5363193,1
1714457177.3264756,2
1714457177.7363675,1
1714457178.556388,2
1714457179.0164115,1
1714457179.816431,2
1714457180.256364,1
1714457181.076459,2
1714457181.4764593,1
1714457182.3063426,2
1714457182.71647,1
1714457183.5265124,2
1714457183.976394,1
1714457184.7663827,2
1714457185.146425,1
1714457185.9365225,2
1714457186.3863263,1
1714457187.206426,2
1714457187.6266215,1
1714457188.446363,2
1714457188.8564088,1
1714457189.666489,2
1714457190.0864751,1
1714457190.8763416,2
1714457191.2865684,1
1714457192.106447,2
1714457192.5767028,1
1714457193.4165368,2
1714457193.856492,1
1714457194.636357,2
1714457195.0263343,1
1714457195.826503,2
1714457196.2463846,1
1714457197.0563662,2
1714457197.4764652,1
1714457198.2763407,2
1714457198.726677,1
1714457199.5165243,2
1714457199.926367,1
1714457200.7463617,2
1714457201.1563597,1
1714457201.9063795,2
1714457202.3265197,1
1714457203.1363962,2
1714457203.556396,1
1714457204.3467906,2
1714457204.7963152,1
1714457205.596344,2
1714457206.056394,1
1714457206.8564284,2
1714457207.2664394,1
1714457208.1163821,2
1714457208.5964596,1
1714457209.4264612,2
1714457209.876374,1
1714457210.6664588,2
1714457211.0863574,1
1714457211.916402,2
1714457212.3765483,1
1714457213.1767309,2
1714457213.6366386,1
1714457214.4065564,2
1714457214.8064268,1
1714457215.6463711,2
1714457216.0564938,1
1714457216.8769374,2
1714457217.3265848,1
1714457218.1368382,2
1714457218.5765371,1
1714457219.386386,2
1714457219.796632,1
1714457220.6163814,2
1714457220.9964957,1
1714457221.816425,2
1714457222.2565086,1
1714457223.076384,2
1714457223.4464612,1
1714457224.2463615,2
1714457224.7064652,1
1714457225.496444,2
1714457225.946379,1
1714457226.7564185,2
1714457227.1964686,1
1714457228.0465014,2
1714457228.4963908,1
1714457229.3069277,2
1714457229.7265325,1
1714457230.5663583,2
1714457231.0065875,1
1714457231.8363454,2
1714457232.266658,1
1714457233.1065052,2
1714457233.5863473,1
1714457234.4163926,2
1714457234.886402,1
1714457235.6965618,2
1714457236.1564195,1
1714457236.9263558,2
1714457237.3864486,1
1714457238.2064197,2
1714457238.676414,1
1714457239.4764552,2
1714457239.9463422,1
1714457240.7863724,2
1714457241.1564727,1
1714457241.966799,2
1714457242.356456,1
1714457243.1463752,2
1714457243.5963633,1
1714457244.4364858,2
1714457244.9069972,1
1714457245.7263844,2
1714457246.2163541,1
1714457247.0063906,2
1714457247.4764767,1
1714457248.3265212,2
1714457248.786393,1
1714457249.6266978,2
1714457250.126387,1
1714457250.9464154,2
1714457251.426343,1
1714457252.2364352,2
1714457252.676349,1
1714457253.5063593,2
1714457253.956511,1
1714457254.786366,2
1714457255.2464151,1
1714457256.1468494,2
1714457256.5965645,1
1714457257.666378,2
1714457257.7363415,1
1714457258.6465232,2
1714457258.9263973,1
1714457259.9663868,2
1714457260.1563296,1
1714457261.0465963,2
1714457261.5263793,1
1714457262.3964047,2
1714457262.6763759,1
1714457263.6966662,2
1714457263.856519,1
1714457264.9764993,2
1714457265.238413,1
1714457266.396442,2
1714457266.566438,1
1714457267.7567248,2
1714457267.8373983,1
