Time,data
1714455910.5643232,2
1714455910.7343092,1
1714455911.8443117,2
1714455912.0143545,1
1714455913.3044357,2
1714455913.4442918,1
1714455940.3943992,2
1714455940.8142915,1
1714455941.7343564,2
1714455942.2847276,1
1714455943.2943745,2
1714455943.644328,1
1714455944.614358,2
1714455945.0942805,1
1714455945.9442978,2
1714455946.394457,1
1714455947.274283,2
1714455947.7343078,1
1714455948.5942845,2
1714455948.9843144,1
1714455949.8544285,2
1714455950.284371,1
1714455951.1643474,2
1714455951.604307,1
1714455952.464308,2
1714455952.954361,1
1714455953.774458,2
1714455954.2042804,1
1714455955.054514,2
1714455955.4955716,1
1714455956.3543847,2
1714455956.8343256,1
1714455957.7142956,2
1714455958.1748264,1
1714455959.0744705,2
1714455959.574651,1
1714455960.4544716,2
1714455960.9044328,1
1714455961.7443495,2
1714455962.1242719,1
1714455962.9943836,2
1714455963.40434,1
1714455964.2043211,2
1714455964.5643308,1
1714455965.4542813,2
1714455965.8142831,1
1714455966.67432,2
1714455967.1342854,1
1714455968.0044563,2
1714455968.4343047,1
1714455969.3143375,2
1714455969.7542944,1
1714455970.6149964,2
1714455971.0743444,1
1714455971.964622,2
1714455972.4358387,1
1714455973.3344498,2
1714455973.8042817,1
1714455974.6645217,2
1714455975.1144032,1
1714455975.9843917,2
1714455976.4743521,1
1714455977.3543358,2
1714455977.8244045,1
1714455978.7343369,2
1714455979.1943712,1
1714455980.0348876,2
1714455980.4745796,1
1714455981.3543823,2
1714455981.8043966,1
1714455982.6843274,2
1714455983.1743696,1
1714455984.044321,2
1714455984.5544443,1
1714455985.4243588,2
1714455985.9250066,1
1714455986.7944307,2
1714455987.2743585,1
1714455988.1343307,2
1714455988.6342893,1
1714455989.5043025,2
1714455989.9444041,1
1714455990.8043244,2
1714455991.2142985,1
1714455992.0643098,2
1714455992.4850378,1
1714455993.354388,2
1714455993.8147502,1
1714455994.6444042,2
1714455995.084361,1
1714455995.9542904,2
1714455996.4145992,1
1714455997.2544627,2
1714455997.7045653,1
1714455998.5342839,2
1714455998.9644713,1
1714455999.8144083,2
1714456000.2244403,1
1714456001.1044085,2
1714456001.5544174,1
1714456002.4143987,2
1714456002.8343868,1
1714456003.664324,2
1714456004.1442714,1
1714456005.0043287,2
1714456005.4643095,1
1714456006.3445234,2
1714456006.754356,1
1714456007.6144426,2
1714456008.1042993,1
1714456008.9645584,2
1714456009.3645077,1
1714456010.2043886,2
1714456010.6643775,1
1714456011.5143147,2
1714456011.9644823,1
1714456012.844603,2
1714456013.2746503,1
1714456014.1444898,2
1714456014.554385,1
1714456015.4443252,2
1714456015.9046366,1
1714456016.794318,2
1714456017.2544343,1
1714456018.0842683,2
1714456018.4442775,1
1714456019.2443273,2
1714456019.6843293,1
1714456020.594297,2
1714456020.9845495,1
1714456021.8343885,2
1714456022.2342882,1
1714456023.104303,2
1714456023.5243623,1
1714456024.4142947,2
1714456024.8443825,1
1714456025.7044928,2
1714456026.1444201,1
1714456026.9943533,2
1714456027.4345968,1
1714456028.2544796,2
1714456028.6743789,1
1714456029.5343268,2
1714456029.9449534,1
1714456030.794281,2
1714456031.2045121,1
1714456032.0543263,2
1714456032.4742794,1
1714456033.314478,2
1714456033.7843587,1
1714456034.654371,2
1714456035.134459,1
1714456036.0147235,2
1714456036.4449215,1
1714456037.3242922,2
1714456037.7842984,1
1714456038.6243436,2
1714456039.0143056,1
1714456039.8744886,2
1714456040.2943027,1
1714456041.1643608,2
1714456041.594744,1
1714456042.3543174,2
1714456042.6744747,1
1714456043.5443125,2
1714456043.9546716,1
1714456044.8843172,2
1714456045.2643244,1
1714456046.1046348,2
1714456046.5243561,1
1714456047.444607,2
1714456047.8643196,1
1714456048.7643566,2
1714456049.214309,1
1714456050.1243336,2
1714456050.6143482,1
1714456051.5643702,2
1714456052.074359,1
1714456052.9845502,2
1714456053.4546268,1
1714456054.3550715,2
1714456054.794287,1
1714456055.724291,2
1714456056.1942763,1
1714456057.1042883,2
1714456057.5243385,1
1714456058.444437,2
1714456058.864521,1
1714456059.8145208,2
1714456060.2245026,1
1714456061.184326,2
1714456061.6443667,1
1714456062.5543556,2
1714456062.984301,1
1714456063.8845742,2
1714456064.4043362,1
1714456065.3745522,2
1714456065.7942924,1
1714456066.9043176,2
1714456067.604273,1
1714456068.6943042,2
1714456068.964325,1
1714456069.8942876,2
1714456070.0846643,1
1714456070.9643207,2
1714456071.1245534,1
1714456078.6544614,2
