Time,data
1714455900.8543084,2
1714455901.3942897,1
1714455909.6443188,2
1714455910.3043158,1
1714455910.9543302,2
1714455911.6444993,1
1714455912.4144268,2
1714455913.0343993,1
1714455939.5645194,2
1714455940.2043507,1
1714455940.9842968,2
1714455941.5942903,1
1714455942.4242907,2
1714455943.1343248,1
1714455943.1844144,2
1714455943.2043052,1
1714455943.7543426,2
1714455944.454309,1
1714455944.4942708,2
1714455944.524327,1
1714455945.234584,2
1714455945.8244503,1
1714455946.544295,2
1714455947.1543856,1
1714455947.894333,2
1714455948.4845088,1
1714455949.134306,2
1714455949.7344568,1
1714455950.4543145,2
1714455951.034274,1
1714455951.7543244,2
1714455952.3644004,1
1714455953.1042807,2
1714455953.6543193,1
1714455954.3543336,2
1714455954.9343033,1
1714455955.6343822,2
1714455956.2443008,1
1714455956.9942818,2
1714455957.6043954,1
1714455958.3242962,2
1714455958.9643972,1
1714455959.7249115,2
1714455960.3143237,1
1714455961.074621,2
1714455961.62432,1
1714455962.2742941,2
1714455962.8743973,1
1714455963.5543518,2
1714455964.0645077,1
1714455964.7143462,2
1714455965.3246534,1
1714455965.9653676,2
1714455966.5543263,1
1714455967.2642853,2
1714455967.864318,1
1714455968.5743082,2
1714455969.1746094,1
1714455969.9042988,2
1714455970.4843023,1
1714455971.2043502,2
1714455971.8443055,1
1714455972.5745223,2
1714455973.2244964,1
1714455973.954431,2
1714455974.5344188,1
1714455975.2646163,2
1714455975.8844168,1
1714455976.634315,2
1714455977.2343843,1
1714455977.9644413,2
1714455978.5843852,1
1714455979.364322,2
1714455979.9043875,1
1714455980.6243215,2
1714455981.224365,1
1714455981.9743216,2
1714455982.5444763,1
1714455983.3143287,2
1714455983.9243722,1
1714455984.724389,2
1714455985.3043287,1
1714455986.0743034,2
1714455986.6743047,1
1714455987.4142895,2
1714455988.0145276,1
1714455988.8043482,2
1714455989.3748915,1
1714455990.1043458,2
1714455990.6743279,1
1714455991.3844178,2
1714455991.9243007,1
1714455992.6443722,2
1714455993.2243538,1
1714455993.9643376,2
1714455994.5042765,1
1714455995.2342725,2
1714455995.8243625,1
1714455996.5543108,2
1714455997.1242857,1
1714455997.8443189,2
1714455998.4043536,1
1714455999.1343093,2
1714455999.674303,1
1714456000.3745542,2
1714456000.9744318,1
1714456001.714326,2
1714456002.284462,1
1714456002.9743016,2
1714456003.5342789,1
1714456004.314287,2
1714456004.8643157,1
1714456005.634415,2
1714456006.214315,1
1714456006.904494,2
1714456007.484313,1
1714456008.2750688,2
1714456008.825535,1
1714456009.524373,2
1714456010.0844495,1
1714456010.7943423,2
1714456011.3743014,1
1714456012.1244953,2
1714456012.7143364,1
1714456013.4543796,2
1714456014.0042908,1
1714456014.7346487,2
1714456015.3145368,1
1714456016.0746224,2
1714456016.6745627,1
1714456017.4143417,2
1714456017.9145415,1
1714456018.5943668,2
1714456019.114618,1
1714456019.8242807,2
1714456020.4843354,1
1714456021.1244295,2
1714456021.6942682,1
1714456022.3943875,2
1714456022.954356,1
1714456023.6843553,2
1714456024.284416,1
1714456025.0143273,2
1714456025.5545466,1
1714456026.3145475,2
1714456026.8443258,1
1714456027.5844445,2
1714456028.1143088,1
1714456028.8343215,2
1714456029.4046202,1
1714456030.1143644,2
1714456030.6443303,1
1714456031.354347,2
1714456031.924327,1
1714456032.6244245,2
1714456033.194335,1
1714456033.9444036,2
1714456034.5144818,1
1714456035.304328,2
1714456035.8943136,1
1714456036.6143136,2
1714456037.204275,1
1714456037.944338,2
1714456038.4943397,1
1714456039.1644392,2
1714456039.724311,1
1714456040.4444675,2
1714456041.0044532,1
1714456041.73431,2
1714456042.2543352,1
1714456042.8343384,2
1714456043.40475,1
1714456044.0846446,2
1714456044.734334,1
1714456045.414319,2
1714456045.9643831,1
1714456046.704318,2
1714456047.2943504,1
1714456048.0344932,2
1714456048.6343563,1
1714456049.4043357,2
1714456049.9842758,1
1714456050.7644873,2
1714456051.404452,1
1714456052.2343225,2
1714456052.844363,1
1714456053.5244062,2
1714456053.5742803,1
1714456053.6243198,2
1714456054.2143054,1
1714456054.9443603,2
1714456055.604349,1
1714456056.324583,2
1714456056.9644601,1
1714456057.6643229,2
1714456058.304476,1
1714456059.0143642,2
1714456059.6748703,1
1714456060.3743196,2
1714456061.0142975,1
1714456061.764355,2
1714456062.394311,1
1714456063.1643462,2
1714456063.7447681,1
1714456064.6043694,2
1714456065.215449,1
1714456065.974431,2
1714456066.7444854,1
1714456067.7642837,2
1714456068.4743752,1
1714456069.2044322,2
1714456069.694305,1
1714456070.3344312,2
1714456070.7344337,1
1714456073.4443314,2
