log_2024-08-12-15-25-57,log_2024-08-12-15-46-35,log_2024-08-12-15-52-57,log_2024-08-12-16-33-02,log_2024-08-12-16-37-14,log_2024-08-14-11-19-39,log_2024-08-14-11-26-48,log_2024-08-14-11-34-32,log_2024-08-14-11-42-33,log_2024-08-14-11-56-49,log_2024-08-14-12-08-57,log_2024-08-14-12-21-10,log_2024-08-14-12-33-52
22,114,22,16,32,24,20,48,56,28,30,40,22
23,115,23,17,33,25,21,49,57,29,31,41,23
28,120,26,20,34,30,24,64,60,34,34,42,26
29,121,27,21,35,31,25,65,61,35,35,43,27
32,126,32,24,38,72,40,102,74,40,38,54,32
33,127,33,25,39,73,41,103,75,41,39,55,33
36,130,38,28,42,80,54,104,110,58,42,58,36
37,131,39,29,43,81,55,105,111,59,43,59,37
40,134,44,32,46,84,96,116,114,62,48,62,40
41,135,45,33,47,85,97,117,115,63,49,63,41
42,144,72,36,50,86,100,,116,64,50,64,42
43,145,73,37,51,87,101,,117,65,51,65,43
46,146,76,38,54,90,118,,119,82,54,68,48
47,147,77,39,55,91,119,,120,83,55,69,49
50,150,80,46,62,94,128,,126,84,62,84,52
51,151,81,47,63,95,129,,127,85,63,85,53
56,156,84,50,66,,,,128,88,72,95,56
57,157,85,51,67,,,,129,89,73,96,57
60,160,88,54,72,,,,130,96,76,106,60
61,161,89,55,73,,,,131,97,77,107,61
66,188,100,68,76,,,,142,100,78,128,66
67,189,101,69,77,,,,143,101,79,129,67
70,206,104,72,82,,,,148,104,84,132,72
71,207,105,73,83,,,,149,105,85,133,73
76,216,110,76,86,,,,152,120,90,,76
77,217,111,77,87,,,,153,121,91,,77
86,220,114,80,92,,,,156,124,92,,80
87,221,115,81,93,,,,157,125,93,,81
112,222,118,92,102,,,,164,128,98,,84
113,223,119,93,103,,,,165,129,99,,85
116,228,,96,110,,,,,,102,,88
117,229,,97,111,,,,,,103,,89
130,232,,100,114,,,,,,106,,92
131,233,,101,115,,,,,,107,,93
134,236,,104,142,,,,,,112,,98
135,237,,105,143,,,,,,113,,99
136,,,114,,,,,,,116,,102
137,,,115,,,,,,,117,,103
140,,,120,,,,,,,120,,106
141,,,121,,,,,,,121,,107
144,,,124,,,,,,,124,,110
145,,,125,,,,,,,125,,111
148,,,,,,,,,,130,,116
149,,,,,,,,,,131,,117
152,,,,,,,,,,150,,120
153,,,,,,,,,,151,,121
154,,,,,,,,,,154,,124
155,,,,,,,,,,155,,125
162,,,,,,,,,,,,130
163,,,,,,,,,,,,131
202,,,,,,,,,,,,134
203,,,,,,,,,,,,135
206,,,,,,,,,,,,140
207,,,,,,,,,,,,141
208,,,,,,,,,,,,
209,,,,,,,,,,,,
212,,,,,,,,,,,,
213,,,,,,,,,,,,
220,,,,,,,,,,,,
221,,,,,,,,,,,,
224,,,,,,,,,,,,
225,,,,,,,,,,,,
230,,,,,,,,,,,,
231,,,,,,,,,,,,
232,,,,,,,,,,,,
233,,,,,,,,,,,,
236,,,,,,,,,,,,
237,,,,,,,,,,,,
240,,,,,,,,,,,,
241,,,,,,,,,,,,
248,,,,,,,,,,,,
249,,,,,,,,,,,,
250,,,,,,,,,,,,
251,,,,,,,,,,,,
254,,,,,,,,,,,,
255,,,,,,,,,,,,
256,,,,,,,,,,,,
257,,,,,,,,,,,,
260,,,,,,,,,,,,
261,,,,,,,,,,,,
290,,,,,,,,,,,,
291,,,,,,,,,,,,
292,,,,,,,,,,,,
293,,,,,,,,,,,,
296,,,,,,,,,,,,
297,,,,,,,,,,,,
300,,,,,,,,,,,,
301,,,,,,,,,,,,
306,,,,,,,,,,,,
307,,,,,,,,,,,,
318,,,,,,,,,,,,
319,,,,,,,,,,,,
320,,,,,,,,,,,,
321,,,,,,,,,,,,
326,,,,,,,,,,,,
327,,,,,,,,,,,,
330,,,,,,,,,,,,
331,,,,,,,,,,,,
338,,,,,,,,,,,,
339,,,,,,,,,,,,
