log_2024-08-12-15-25-57,log_2024-08-12-15-46-35,log_2024-08-12-15-52-57,log_2024-08-12-16-33-02,log_2024-08-12-16-37-14,log_2024-08-14-11-19-39,log_2024-08-14-11-26-48,log_2024-08-14-11-34-32,log_2024-08-14-11-42-33,log_2024-08-14-11-56-49,log_2024-08-14-12-08-57,log_2024-08-14-12-21-10,log_2024-08-14-12-33-52
12,74,18,14,10,20,24,36,48,28,22,18,16
13,75,19,15,11,21,25,37,49,29,23,19,17
16,134,28,20,14,32,34,40,52,40,26,22,26
17,135,29,21,15,33,35,41,53,41,27,23,27
134,158,34,24,18,42,38,44,91,50,36,38,30
135,159,35,25,19,43,39,45,92,51,37,39,31
174,,38,32,26,50,86,48,100,76,50,42,34
175,,39,33,27,51,87,49,101,77,51,43,35
178,,50,42,30,88,92,94,102,,82,48,38
179,,51,43,31,89,93,95,103,,83,49,39
182,,72,50,38,94,96,100,122,,,56,42
183,,73,51,39,95,97,101,123,,,57,43
198,,76,60,42,,118,106,128,,,86,46
199,,77,61,43,,119,107,129,,,87,47
,,90,68,56,,120,,,,,,50
,,91,69,57,,121,,,,,,51
,,94,72,66,,,,,,,,54
,,95,73,67,,,,,,,,55
,,98,88,70,,,,,,,,58
,,99,89,71,,,,,,,,59
,,102,92,76,,,,,,,,68
,,103,93,77,,,,,,,,69
,,106,100,,,,,,,,,74
,,107,101,,,,,,,,,75
,,116,106,,,,,,,,,78
,,117,107,,,,,,,,,79
,,,,,,,,,,,,92
,,,,,,,,,,,,93
,,,,,,,,,,,,96
,,,,,,,,,,,,97
,,,,,,,,,,,,100
,,,,,,,,,,,,101
,,,,,,,,,,,,106
,,,,,,,,,,,,107
,,,,,,,,,,,,110
,,,,,,,,,,,,111
,,,,,,,,,,,,114
,,,,,,,,,,,,115
,,,,,,,,,,,,118
,,,,,,,,,,,,119
,,,,,,,,,,,,128
,,,,,,,,,,,,129
